"","AJwcM2MAIPOOA100700.extra.kraken2.report","Ia7iM2MAIPOOB100245.extra.kraken2.report","P0ZQM2MAIPOOA100240.extra.kraken2.report","qU3SM2MAIPOOM070605.extra.kraken2.report","c5isM2MAIPOOA070615.extra.kraken2.report","TgLUM2MAIPOOM070620.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"10294",42,14,17,20,21,28,"v_4722",107,3.38856697502626e-05,59732.4649598182
"1615494",65,33,39,38,45,40,"v_3333",177,3.38822253845633e-05,35048.7462544469
"1921086",66,30,43,51,58,54,"v_4047",199,3.38799295297466e-05,35002.8157624455
"971",73,33,40,58,62,57,"v_1330",116,3.38741912536838e-05,85982.8095865567
"563",91,38,41,54,67,51,"v_3249",119,3.38661609319968e-05,131236.215424116
"2161821",37,25,29,31,36,28,"v_1340",126,3.38627205309675e-05,33072.6281418622
"683737",76,29,40,48,40,42,"v_941",155,3.38615738859542e-05,40480.5231858286
"38313",103,57,57,49,72,68,"v_3593",188,3.38592808288752e-05,47586.7438900444
"2635519",30,13,14,14,20,25,"v_5691",115,3.38569880823402e-05,169873.610840865
"637389",28,12,14,16,23,16,"v_4029",109,3.38546956462861e-05,162020.495257528
"359370",79,38,51,31,38,55,"v_3721",138,3.38478202003791e-05,21893.1700334227
"141451",56,40,36,30,44,55,"v_3532",158,3.38466745642241e-05,33158.1426001057
"307628",71,46,59,40,46,61,"v_4252",116,3.38466745642241e-05,35834.3568002401
"1620392",47,29,22,18,30,32,"v_3733",92,3.38409475465313e-05,24092.6848860886
"1223569",42,22,26,27,28,32,"v_3344",115,3.38398023755541e-05,29469.3457884999
"703",98,49,61,43,88,78,"v_3408",191,3.38398023755541e-05,55959.8539083807
"2593292",77,36,36,89,64,51,"v_1418",92,3.38363673276037e-05,36275.456682274
"191026",33,19,20,22,38,37,"v_3942",80,3.38352224665877e-05,40408.5325741381
"2639160",27,12,17,19,31,22,"v_1344",135,3.38340776830424e-05,19633.6418891332
"2707005",78,31,33,42,40,42,"v_949",156,3.382949932341e-05,22375.6015651506
"475088",110,26,40,65,94,69,"v_4562",131,3.382949932341e-05,78392.6813554948
"1462996",77,43,39,56,70,61,"v_942",146,3.38283549270999e-05,33821.1509747352
"2622400",89,53,47,57,70,56,"v_974",128,3.38237781160156e-05,67340.7821154044
"5873",107,37,54,50,97,80,"v_4426",184,3.38203463203463e-05,48112.8139673124
"2492396",53,21,20,30,39,28,"v_3203",110,3.38123415046492e-05,65908.2258396084
"2814293",49,29,22,21,33,36,"v_3579",107,3.38123415046492e-05,76735.3294942903
"2709396",37,20,25,33,34,31,"v_2702",98,3.38100551103898e-05,28860.784701989
"1484158",93,59,60,52,62,58,"v_3304",203,3.3805483249383e-05,48375.8123996721
"621456",50,25,26,28,27,41,"v_1876",115,3.38043404773173e-05,27472.2836686973
"148813",46,29,23,17,43,29,"v_4024",79,3.38009126246409e-05,11354.2008416013
"1884905",32,16,8,16,20,17,"v_769",79,3.37974854670813e-05,66106.2008214539
"2291",57,30,30,30,42,52,"v_3955",115,3.37974854670813e-05,26627.2709002182
"247480",46,10,18,39,33,37,"v_883",91,3.37963432356619e-05,25320.3203593665
"2518495",124,67,61,66,78,84,"v_4246",173,3.3794059004427e-05,101529.649282653
"139438",40,15,32,32,45,36,"v_4406",102,3.37906332364669e-05,86231.579009402
"208962",32,20,17,17,45,29,"v_3221",90,3.37837837837838e-05,21723.2683829063
"948519",27,21,21,13,27,30,"v_3679",60,3.37803600986387e-05,32622.9676531896
"72803",31,12,12,16,24,17,"v_4594",111,3.37803600986387e-05,108943.742364165
"488446",123,77,66,62,116,91,"v_2379",190,3.37792190244562e-05,93816.9182035869
"36845",21,11,14,34,47,34,"v_1203",74,3.37769371073431e-05,14235.5979016776
"2628296",46,21,25,37,23,31,"v_908",98,3.37735148096862e-05,53116.3143353744
"330734",39,22,22,12,30,25,"v_3550",58,3.37712336631657e-05,14317.6862575561
"570267",129,50,48,71,103,106,"v_4583",256,3.37700932054572e-05,97798.2894106614
"2644606",48,26,30,29,30,26,"v_663",73,3.37643920721207e-05,29705.419191008
"1796620",101,54,63,66,102,74,"v_1185",224,3.37643920721207e-05,75221.7829945285
"45663",126,52,63,66,95,80,"v_3946",174,3.376325207644e-05,150913.828253619
"810",72,45,41,30,72,37,"v_4134",99,3.37586928634123e-05,21727.8923559995
"1501",39,21,9,18,39,31,"v_1201",89,3.37507172027406e-05,17719.9299229193
"61435",41,18,27,21,46,36,"v_1488",172,3.37473002159827e-05,42113.5859986458
"160233",25,10,12,17,21,24,"v_4472",116,3.37473002159827e-05,104050.183330265
"82985",24,15,18,13,19,20,"v_3406",110,3.37450226091651e-05,164510.985362299
"138851",38,13,15,21,23,25,"v_4323",163,3.37438839210393e-05,41224.4770983212
"693075",60,35,29,47,64,60,"v_4413",177,3.37438839210393e-05,31066.2858678928
"203263",126,51,71,50,99,71,"v_548",134,3.37381916329285e-05,68878.1096135556
"666509",95,50,48,48,77,68,"v_2185",123,3.37381916329285e-05,39419.2586026647
"29347",41,7,24,12,25,22,"v_1233",69,3.37347771817967e-05,31132.5110150587
"28196",48,27,34,20,32,40,"v_3997",104,3.37302256552096e-05,34386.065979318
"2785911",65,44,53,35,54,54,"v_2006",118,3.37290879654614e-05,29901.0776270726
"1812935",81,56,40,55,70,59,"v_3135",112,3.3722263438322e-05,96001.0905097568
"2067958",42,23,18,30,44,25,"v_3204",107,3.37165784416197e-05,63973.6988193921
"1089444",60,31,41,25,42,48,"v_3358",121,3.37143049796028e-05,11079.6018883926
"29495",42,27,20,26,33,45,"v_3758",157,3.37029422668599e-05,20933.064210898
"366522",42,22,23,19,21,24,"v_4000",128,3.37029422668599e-05,38936.9724634079
"2478464",46,27,25,15,30,45,"v_3155",80,3.37006706433458e-05,31484.2444972024
"2705547",50,32,35,20,32,35,"v_2478",49,3.3698399326032e-05,29827.2516338817
"1118153",63,44,36,22,62,44,"v_3468",98,3.36949929240515e-05,30624.2135591089
"92682",46,20,11,44,40,26,"v_1463",77,3.36938576097577e-05,21528.2904537191
"1074000",94,54,49,57,78,49,"v_3190",90,3.3682508673246e-05,38698.1975506162
"37636",127,42,44,73,77,72,"v_1393",130,3.36791054829584e-05,58226.4961798996
"35787",65,23,42,40,44,44,"v_1056",185,3.36779712390126e-05,22375.9707019958
"2636013",149,66,71,87,108,99,"v_792",200,3.36768370714622e-05,90421.5469015254
"342610",28,12,16,13,19,16,"v_3632",97,3.36723011650616e-05,434708.460546901
"45065",63,42,33,41,64,55,"v_3802",76,3.36723011650616e-05,19945.4722122238
"2644672",47,20,37,15,36,28,"v_4568",71,3.36677664803717e-05,29184.4116094088
"1921421",114,30,63,75,62,77,"v_862",134,3.36575679041432e-05,24614.4602061149
"1936021",66,16,38,46,54,44,"v_4385",143,3.36564351103931e-05,25057.7852901776
"323284",33,26,22,20,32,40,"v_2576",122,3.36530371866061e-05,20621.6547027258
"1323375",69,43,34,32,50,42,"v_1321",93,3.36519046978059e-05,25851.1736656206
"1858656",34,12,14,22,31,23,"v_3558",152,3.36496399488525e-05,170330.96135185
