"","X3xfYM2CHIPOOA051365.extra.kraken2.report","jYxWM2CHIPOOB051110.extra.kraken2.report","j1iWM2CHIPOOBXX1561.extra.kraken2.report","X1ayWM2CHIPOOB100705.extra.kraken2.report","oAVVM2CHIPOOB051360.extra.kraken2.report","hoQoM2CHIPOOA051115.extra.kraken2.report","eBCjM2CHIPOOBXX1180.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"213554",8,2,1,8,6,12,9,"v_2239",58,2.99114620722661e-05,81095.4760476948
"19",93,44,32,175,134,260,143,"v_2833",90,3.04785126485827e-05,80788.7174660417
"111769",27,14,9,42,34,58,22,"v_2685",72,3.2520325203252e-05,80462.0576071379
"2041044",1,1,0,10,3,7,6,"v_4438",34,2.68846112485213e-05,80350.1191505306
"483547",139,89,55,272,215,455,182,"v_2828",154,2.90672325087928e-05,80169.8669762715
"1604004",36,29,19,78,67,167,90,"v_5263",88,3.2100667693888e-05,80147.6278452545
"1205",7,5,1,16,15,26,20,"v_4628",79,3.17248818248152e-05,80013.5688126077
"2613965",156,118,84,709,271,610,273,"v_573",48,2.6754421168098e-05,79976.3942507733
"28091",18,19,8,43,28,77,30,"v_1259",87,3.28482738232106e-05,79887.8985413137
"2724191",12,3,6,28,20,34,23,"v_2508",66,3.16906987799081e-05,79881.849918252
"38027",7,12,4,34,6,41,23,"v_5292",48,3.15069787958033e-05,79513.9273425643
"1744",230,150,124,599,337,710,393,"v_3564",152,2.65167585914298e-05,79299.6583346988
"57037",5,6,3,18,6,16,12,"v_4106",38,3.01868566426178e-05,79025.5409486539
"715451",3,1,2,7,4,11,2,"v_2389",14,2.67415429870304e-05,78518.506172965
"1336806",49,29,26,114,76,133,78,"v_2286",97,3.20297235834855e-05,78403.5810108387
"154046",36,21,16,58,57,114,58,"v_4353",106,3.27385824193812e-05,78397.7323319791
"113107",2,0,0,5,6,5,5,"v_4215",41,2.64487291385649e-05,78292.9116188834
"2629304",59,46,33,105,104,273,128,"v_4297",134,3.1082929255253e-05,78282.1616068512
"1806885",153,82,77,474,329,402,129,"v_432",41,2.68831657616001e-05,78226.1290666889
"47886",52,13,7,73,51,72,37,"v_1562",85,3.2183316168898e-05,78140.718726952
"650",43,25,23,125,73,124,66,"v_2349",106,3.23300248941192e-05,77943.1356251559
"257487",7,4,3,15,10,25,22,"v_4267",79,3.17874058298102e-05,77716.2426661582
"1528099",27,13,12,60,36,92,36,"v_3526",92,3.29913232819768e-05,77522.8924788338
"1151742",0,0,0,6,3,6,7,"v_4236",41,2.57632358624243e-05,77185.7148724641
"2640322",19,15,2,68,39,76,40,"v_4475",72,3.28731097961867e-05,77171.4010729968
"1842532",59,54,32,132,87,219,80,"v_2834",80,3.12607458813967e-05,77023.2837039084
"31909",5,8,2,14,7,31,11,"v_4478",60,3.11817898347365e-05,76871.8380981432
"136609",0,0,0,3,0,2,1,"v_4134",51,1.99226999242937e-05,76620.9047414645
"865",6,1,0,14,5,25,8,"v_4492",59,2.9838276541147e-05,76404.9711872008
"2608905",27,24,17,86,69,137,78,"v_3566",63,3.20636142105938e-05,76368.3217401829
"2734264",0,0,1,4,0,5,3,"v_5621",34,2.3599933920185e-05,76002.948444145
"558541",10,7,4,24,18,28,20,"v_2443",37,3.17329356138736e-05,75992.1584510875
"2648079",17,9,2,34,30,70,33,"v_4388",66,3.24812420826972e-05,75921.41940721
"320778",21,14,9,59,37,75,28,"v_2617",81,3.29424166556859e-05,75646.6627257694
"265883",9,12,2,20,18,41,22,"v_2675",71,3.24369911447014e-05,75122.9363611543
"158877",20,24,8,69,32,81,49,"v_1912",63,3.20708123536769e-05,74845.1821045412
"155615",2,0,0,1,2,2,2,"v_5154",39,2.29552601978743e-05,74797.9131354722
"744872",13,10,5,29,18,45,27,"v_5043",85,3.269042170644e-05,74366.6493462207
"583357",0,0,0,1,0,4,2,"v_4455",49,2.09920859835842e-05,74290.1664411309
"2724468",39,28,15,105,67,136,78,"v_1768",105,3.23718882522418e-05,74258.5024008832
"1731",12,6,3,21,22,36,16,"v_4427",64,3.21843519680731e-05,74233.3462139082
"132132",72,50,33,166,139,282,135,"v_2817",150,3.10115983377783e-05,74137.2021678637
"243159",2,0,0,4,5,13,8,"v_2953",75,2.79049001004576e-05,73940.5680311412
"106654",3,4,2,11,8,21,9,"v_1693",55,3.0362835888872e-05,73923.2370954964
"795359",1,3,1,8,3,13,7,"v_5148",49,2.84228178381605e-05,73824.0441529871
"2144175",44,28,19,92,63,145,93,"v_4498",76,3.17934696213398e-05,73554.5076409595
"577309",16,8,5,37,28,56,24,"v_4969",72,3.2863386900654e-05,73481.9030561907
"118103",0,0,0,2,1,4,2,"v_2053",58,2.21376073673957e-05,73305.2752091352
"2151",0,0,0,2,1,4,2,"v_4744",58,2.21376073673957e-05,73305.2752091352
"1349410",19,14,5,48,23,94,24,"v_5947",61,3.26519950368968e-05,73304.7504054945
"1094342",80,57,50,225,150,288,167,"v_2260",149,3.01559060341968e-05,73243.7788032378
"1761794",34,23,9,59,39,76,28,"v_2367",77,3.26562602050813e-05,73044.3523487565
"1534743",0,0,0,6,5,8,4,"v_2615",39,2.58111142658029e-05,72601.7045382856
"653733",59,35,25,136,104,216,102,"v_5179",143,3.17279015165937e-05,72383.0505188387
"1577791",3,4,1,6,7,23,7,"v_5472",57,3.01768362604865e-05,72382.7656688141
"1844971",177,61,47,449,437,282,160,"v_939",59,2.68254734696067e-05,72319.6342397097
"104623",23,17,7,51,34,75,25,"v_1949",85,3.28331746396559e-05,71897.4898140898
"1473112",30,17,14,63,42,87,91,"v_3964",72,3.22372662798195e-05,71674.2835953329
"2018305",0,0,2,3,1,5,2,"v_2459",40,2.37000521401147e-05,70716.0126612458
"1929246",4,1,0,10,5,9,4,"v_2153",27,2.75194011778304e-05,70673.2249757347
"171284",1,0,0,2,1,4,3,"v_4700",49,2.34246896228625e-05,70175.8240404119
"74661",7,10,12,51,34,83,31,"v_2237",35,3.12744331508991e-05,69750.5573322009
"158189",20,9,5,39,28,49,21,"v_5056",77,3.26413369891631e-05,69737.4106310984
"1005048",113,69,62,455,225,372,167,"v_826",45,2.74220528148737e-05,69692.1697825674
"1004785",2,2,0,11,5,11,6,"v_2383",51,2.83551195168288e-05,69408.8237462486
"136857",56,47,34,167,101,214,105,"v_3458",127,3.11526479750779e-05,69367.1963972666
"2005388",22,10,9,30,32,46,14,"v_1507",56,3.18207853369821e-05,69318.1449195831
"43675",72,59,41,198,128,245,119,"v_3089",111,3.06870838064259e-05,69098.8304199785
"929813",55,47,24,153,105,187,100,"v_2002",123,3.14762354422411e-05,69061.0391519299
"2707005",44,17,20,58,47,122,130,"v_3967",55,3.12822598304502e-05,68722.0554236413
"2755562",9,3,1,20,15,30,7,"v_2635",53,3.11584719885337e-05,68555.8928682062
"1888195",1,0,0,4,1,3,6,"v_4219",33,2.44953948657652e-05,68364.8336214972
"1561",3,2,1,15,5,13,16,"v_4333",47,2.98578765078228e-05,68344.5244551424
"2047767",64,25,9,89,98,198,74,"v_5144",105,3.19631784184619e-05,68208.5496499469
"683737",37,24,22,51,57,109,100,"v_3968",46,3.14040762490971e-05,68202.8020997132
"452",22,8,7,44,27,51,23,"v_2642",72,3.25531430059572e-05,67999.7788402302
"189425",27,12,12,45,51,82,54,"v_3971",40,3.21409057307235e-05,67692.6665929607
"1930593",59,38,32,111,74,186,99,"v_4850",95,3.12842171124668e-05,67638.7830284535
"2812658",151,116,90,773,246,565,223,"v_481",46,2.6203390718759e-05,67509.7253972012
"2725560",20,17,7,74,39,69,38,"v_1847",60,3.2309133792123e-05,67383.1749963707
"1310165",16,16,8,47,35,67,38,"v_1048",82,3.2868787799106e-05,67104.3051307562
"29552",3,0,0,3,3,9,8,"v_4755",63,2.73485573635991e-05,66969.5821769052
"316277",51,33,18,110,92,186,90,"v_2860",134,3.17682190736387e-05,66821.8342729519
"43768",57,27,18,107,85,162,82,"v_3472",104,3.19611352595244e-05,66792.5876337375
"51365",1,0,0,1,2,4,2,"v_4694",45,2.31819551660987e-05,66513.7546751926
"158823",31,14,12,77,78,69,24,"v_1898",66,3.20143424254066e-05,66468.3479723667
"2560359",0,1,0,4,1,6,2,"v_5628",44,2.39137193007628e-05,66351.6666845234
"40520",4,4,2,10,12,25,9,"v_4390",46,3.10694090598397e-05,66308.1150553305
"67381",0,0,0,3,1,10,3,"v_3301",30,2.43629099059592e-05,66118.0501635877
"569860",314,216,236,957,486,935,665,"v_301",52,2.37276070708269e-05,65931.6602068564
"2508687",3,0,0,8,2,6,2,"v_2710",37,2.53916664550694e-05,65847.632475666
"2033033",20,26,21,54,40,102,33,"v_2334",67,3.20769847634322e-05,65809.1338786436
"2518645",13,7,1,24,15,30,6,"v_5061",71,3.10935605236156e-05,65549.1814243996
"2033032",36,23,21,91,52,135,68,"v_2333",74,3.20646423189149e-05,65339.5112355401
"100225",129,77,64,327,189,447,225,"v_3170",146,2.90790659804007e-05,65300.5863833035
"2562717",22,15,19,73,52,116,63,"v_5558",45,3.14435745055498e-05,65264.6528736455
"293371",1,0,0,3,2,10,8,"v_4182",52,2.65146493437624e-05,65243.9173064048
"29554",0,0,0,1,1,6,3,"v_4691",50,2.322340919647e-05,65128.8208447241
"660470",5,5,4,18,10,20,13,"v_5123",37,3.01322807123271e-05,64986.5004936248
"1155738",78,55,34,122,130,253,118,"v_4623",142,3.09885342423303e-05,64879.0481002437
"2377",28,14,12,59,63,103,58,"v_4495",49,3.22788896061976e-05,64878.4991305266
"1496",14,5,5,27,19,38,30,"v_4426",69,3.21708917771201e-05,64845.0896326628
"2057743",85,55,47,190,107,282,155,"v_3681",146,3.06053743037277e-05,64835.8327272628
"2734268",4,3,0,5,3,7,1,"v_5622",47,2.66283218831549e-05,64662.1453586908
"72803",11,5,1,20,21,39,16,"v_5332",74,3.22227234645872e-05,64624.0742801548
"2668073",127,68,60,240,182,506,236,"v_5256",141,2.88583631536419e-05,64497.6377960777
"1224146",3,1,0,6,2,11,2,"v_2078",29,2.64725347452019e-05,64404.3302231443
"1341",2,2,1,6,10,11,9,"v_4211",45,2.93936098292231e-05,64404.2615536363
"1203471",85,49,37,192,124,314,165,"v_2826",138,3.05614131597445e-05,64390.8135298336
"2639160",13,8,6,27,21,37,20,"v_4507",75,3.24917958215551e-05,64320.860759716
"1298593",3,0,0,3,2,4,1,"v_2280",48,2.40812984636132e-05,64269.7582869558
"33074",24,23,11,99,58,111,59,"v_2253",87,3.24117589861602e-05,64164.5818685624
"2624479",2,1,0,6,8,13,7,"v_4439",58,2.87405874576076e-05,64091.1172663993
"558537",47,31,12,165,118,123,67,"v_921",38,2.99787151122703e-05,64071.4087245902
"588",1,0,0,3,8,10,5,"v_2127",45,2.72583546857112e-05,63918.572504741
"1712654",3,4,3,10,8,21,10,"v_5346",42,3.00706660652533e-05,63823.2862738392
"1188228",15,9,8,22,34,55,28,"v_4648",54,3.26285565126599e-05,63718.4920313732
"2715679",17,5,2,36,29,49,20,"v_5033",60,3.25807187306552e-05,63695.3493326101
