"","pse1M2MAIPOOA100685.extra.kraken2.report","AJwcM2MAIPOOA100700.extra.kraken2.report","qU3SM2MAIPOOM070605.extra.kraken2.report","B7zTM2MAIPOOA070610.extra.kraken2.report","c5isM2MAIPOOA070615.extra.kraken2.report","TgLUM2MAIPOOM070620.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"37929",2.97624362339804e-05,3.70770552517297e-05,2.33046104010141e-05,3.91944239399541e-05,2.47813333272333e-05,2.56173897673044e-05,"v_161",51,3.36779712390126e-05,13427.3364023734
"449461",0.00139685034058148,0.00101657538055862,0.00100501132354373,0.000725096842889152,0.000632114625485428,0.000642142570167098,"v_340",51,2.09086917431576e-05,3657.77084737793
"2079234",2.38099489871843e-05,2.73927497755316e-05,2.16399953723702e-05,1.30648079799847e-05,2.05875692257015e-05,2.09208683099653e-05,"v_547",51,3.44020916471722e-05,7987.12324632966
"467094",0.000815490752811062,0.000981988575286483,0.000675001394115087,0.000672837610969213,0.000658039712658534,0.000698927784151289,"v_782",51,2.18097751412183e-05,4872.07266604386
"1479",1.78574617403882e-05,1.16211665714377e-05,8.32307514321932e-06,1.30648079799847e-05,6.86252307523384e-06,7.68521693019133e-06,"v_832",51,3.32612672542824e-05,3834.29384702284
"2617942",1.19049744935921e-05,8.02413882313553e-06,7.07461387173642e-06,0,4.95626666544666e-06,6.83130393794785e-06,"v_1003",51,3.2946758039009e-05,16876.9270959074
"361101",1.98416241559869e-06,1.66016665306252e-06,2.91307630012676e-06,0,2.66875897370205e-06,8.53912992243481e-07,"v_1124",51,2.80017921146953e-05,6586.97515952737
"339862",9.92081207799346e-06,9.40761103402096e-06,8.32307514321932e-06,1.30648079799847e-05,1.02937846128508e-05,5.97739094570437e-06,"v_1266",51,3.31389183457052e-05,5027.67204721712
"1514105",3.96832483119738e-06,1.93686109523961e-06,2.49692254296579e-06,0,2.66875897370205e-06,8.53912992243481e-07,"v_1350",51,2.77284826974268e-05,7513.03721025487
"70799",1.98416241559869e-06,5.53388884354174e-06,3.20438393013944e-05,1.95972119699771e-05,1.41062974324251e-05,8.96608641855655e-06,"v_1442",51,3.405762550235e-05,786.94701330518
"83627",0.00050000892873087,0.000451011940748652,0.000388687609188342,0.000653240398999236,0.00094550317925444,0.000663063438477063,"v_1556",51,2.21238938053097e-05,4780.66845135209
"38323",3.96832483119738e-06,1.66016665306252e-06,2.49692254296579e-06,0,7.62502563914871e-07,4.26956496121741e-07,"v_1824",51,2.6936752505118e-05,5331.19719308611
