"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"95641",2.228214269597e-05,2.422864795334e-05,1.75174448115038e-05,1.20878995563969e-05,1.26435037677641e-05,2.25875400043049e-05,1.68411224177272e-05,2.24644287003744e-05,1.69658005179034e-05,2.49710723624558e-05,1.88734771026277e-05,1.90978784033641e-05,1.49297642414582e-05,1.97998068418844e-05,2.26319934298172e-05,2.68569491460684e-05,1.24423825212101e-05,2.23006923409228e-05,"v_2539",2,4.51406130095247e-05,2573.11689261394
"1275962",8.46157317568482e-06,2.20260435939455e-06,8.11784027850174e-06,5.70183941339476e-06,8.00755238625061e-06,7.52918000143497e-06,2.7415780680021e-06,6.29004003610483e-06,6.69702652022502e-06,9.78596079069213e-06,1.08347738922492e-05,1.24358277975394e-05,1.00995463986335e-05,7.08881973351416e-06,4.60311730775944e-06,5.07297928314625e-06,5.716770347583e-06,6.05304506396476e-06,"v_44",2,3.54647657552222e-05,2568.61244251989
"640081",7.89746829730583e-05,4.4052087187891e-05,7.60513457670163e-05,4.88077453786592e-05,4.97311148198722e-05,4.73895447149142e-05,6.10980255154754e-05,7.90747890253179e-05,6.16126439860702e-05,6.54647032204922e-05,5.38243606260123e-05,5.55170883818723e-05,4.7863067715263e-05,6.01327467049821e-05,6.59780147445519e-05,5.75932353910133e-05,5.78402646931927e-05,6.53091704269882e-05,"v_1173",10,5.82784544553878e-05,2566.64946465049
"2541726",0.000216616273297531,0.000211450018501877,0.000174319938612037,0.00022647706150004,0.000243598172592255,0.000209045468275136,0.00022206782350817,0.000199034838285317,0.000192427895347799,0.000194031981194758,0.000196773474236655,0.00020163806500296,0.000158079856674263,0.000151798519121113,0.000167630188624239,0.000170094011258433,0.000167467743123314,0.000160564984854644,"v_3159",33,4.98479637106824e-05,2564.16401401599
"2643059",0.000204770070851573,0.000196031787986115,0.000201664242708043,0.000243354506163688,0.000223368566563833,0.000196644465919831,0.000218542937420739,0.000188251912509137,0.000193767300651844,0.000202805601213999,0.000201666597929929,0.000194087740983026,0.000139637206728933,0.000159131780914404,0.000144231008976462,0.000162633747606747,0.000207485135556395,0.000168210936514389,"v_3333",163,5.78268663621118e-05,2563.22032496945
"60920",0.000331411616047656,0.000345808884424944,0.000331549687164071,0.000421023822285069,0.000409228071949965,0.000350771209478618,0.000408495132132313,0.000323487773285391,0.000337083668184659,0.00036646735926523,0.00035265441475095,0.000363747963078027,0.000291130402708435,0.000299441523226029,0.000252404265708809,0.000276029755112369,0.000345023904507068,0.000268245470729386,"v_3339",178,5.30729221950961e-05,2561.50025502691
"83637",0.000882824134663117,0.000557258902926821,0.00103352924387872,0.000540762449966359,0.000407120821322005,0.000685598273071843,0.000484476010016943,0.000748514764296475,0.000458523082418073,0.000538227843488067,0.000488613351656917,0.000483220737275816,0.000466774687902061,0.000507950600215256,0.000451489089269405,0.000739461333155083,0.000597234361018083,0.000518013224947721,"v_27",30,4.98902414687687e-05,2559.69197265777
"82633",0.000993388690825398,0.000746682877834752,0.000996358080498213,0.000677150448734762,0.000707614760869199,0.0008547833766335,0.000774299977205737,0.000931375213917522,0.000742030538440932,0.000920555208172695,0.000779055193736243,0.000806552260011841,0.000766687304870177,0.000834036307956907,0.000643285643759381,0.000914329913150595,0.00074822435431601,0.000713940736228685,"v_949",27,4.56412596987677e-05,2558.46642494868
"1619308",0.000121282548851482,0.000125548448485489,0.000121340349426026,0.000151897001972836,0.00014202869232455,0.000139511276497177,0.000133945671322388,0.000103336372021722,0.0001071524243236,0.000135316216450605,0.000118483495144274,0.000106592809693195,9.00176961617333e-05,9.87545921496455e-05,9.74326496809081e-05,0.000106830975492139,0.000106600952951989,9.11142572786274e-05,"v_3224",131,6.07607242678333e-05,2557.92297053254
"1637862",8.43336793176587e-05,5.72677133442582e-05,7.60513457670163e-05,6.6369410771915e-05,6.70105699691499e-05,7.30773353080453e-05,8.18556880303485e-05,7.90747890253179e-05,6.38449861594785e-05,7.59255578588183e-05,6.39601168477938e-05,7.10618731287965e-05,0.000101434574699319,6.99104290960362e-05,5.67717801290331e-05,8.3256542352812e-05,6.38933156494571e-05,5.63888934906191e-05,"v_921",72,6.5621103746965e-05,2555.31258273445
