"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report"
"1030157",941,138,1083,610,922,668,2808,418
"2759526",935,130,1124,650,861,622,1989,393
"1517554",900,125,1132,628,881,626,2043,363
"1390395",821,109,997,556,840,595,1940,337
"1517551",808,108,922,578,728,559,1865,316
"1961362",510,57,582,352,466,339,1342,204
"2319844",439,46,505,338,413,292,1046,173
"304378",349,41,245,210,196,239,659,112
"1628059",25,5,17,12,16,21,139,5
"849864",14,0,1,4,5,0,11,0
"1381597",13,1,7,22,69,46,125,9
"28214",2,1,3,0,0,2,22,0
"90322",2,0,1,2,0,0,1,0
"386874",6649,1139,10515,3430,5587,3793,7318,1884
"1176646",3351,1023,9525,2696,5399,3564,6884,1652
"1045317",3152,873,8606,2511,5877,3528,4474,1356
"363835",2893,677,6254,2135,4855,3016,4444,1307
"2071607",2710,576,5396,1930,4305,2452,3533,1041
"2594473",2539,494,4583,1562,3829,1861,2500,868
"392499",380,59,526,292,428,263,1471,131
"653931",2216,293,2789,1592,2233,1477,5216,937
"1123269",2110,328,2606,1476,2090,1517,5205,884
"93064",1586,254,2067,966,1779,1166,4402,811
"1609977",1453,166,1718,1015,1425,1000,3376,541
"1549858",1423,198,1760,992,1392,956,2904,499
"1560345",1385,171,1578,898,1347,961,3224,518
"1813879",1197,132,1485,776,1223,779,2721,466
"424800",1037,137,1191,680,968,679,1897,340
"13689",1035,114,1199,711,901,664,2844,412
"621456",57,1,54,42,36,35,236,13
"2698828",575,62,614,388,511,379,1241,207
"2789327",2856,606,2478,1404,9845,3464,84773,1363
"627192",1355,189,1476,952,1275,873,3521,554
"1315974",759,242,1118,539,1089,757,11714,402
"2676077",740,164,925,478,898,452,4671,328
"2082188",738,170,863,495,850,536,4440,335
"1843368",695,149,812,517,763,388,3484,277
"1855519",695,683,1730,487,1427,584,10108,577
"2072936",666,121,879,495,748,503,2347,299
"2733867",646,117,703,416,652,359,3564,262
"407020",501,276,1409,306,799,316,6075,321
"2565554",194,31,208,135,161,95,606,60
"484429",101,14,90,56,120,81,890,66
"520734",91,15,92,52,227,94,1504,121
"2185111",16,1,12,12,11,14,107,4
"13690",1688,287,1750,1183,1505,1101,8935,620
"135719",808,123,1000,518,879,528,4434,388
"120107",756,164,861,511,929,532,5109,408
"690566",682,190,956,456,849,410,7104,313
"1673076",628,106,740,421,717,429,4476,266
"452662",614,127,757,412,737,420,5234,324
"1332080",580,146,701,423,800,390,4637,377
"76947",522,364,1260,337,1030,405,7310,408
"1208342",120,19,130,79,132,92,1045,65
"1054037",97,49,174,79,128,95,1229,47
"861109",9,4,8,8,19,9,32,3
"56193",4,1,3,2,5,6,32,1
"595605",1,0,1,1,0,0,194,0
"1357916",1708,320,2347,947,1538,815,21483,777
"1874061",1490,131,1024,580,970,459,10139,730
"2486273",1261,335,1500,772,1175,636,15000,721
"2565556",1027,303,3192,709,6018,607,53041,5359
"292913",965,130,1186,643,2015,614,21442,1209
"1914525",914,146,1050,551,1195,594,11815,852
"1866325",94,18,103,69,213,69,1604,205
"1913578",49,6,65,46,54,14,151,11
"33050",2064,353,2490,1327,2270,1450,33838,1488
"2448440",1206,121,1050,591,1197,1506,14299,638
"2054227",1006,165,1307,647,1247,602,18732,774
"1515612",876,208,1148,550,1208,536,14440,1020
"317655",766,117,978,496,1095,506,9778,737
"267128",505,76,565,318,601,342,6150,353
"2675225",2337,249,2179,1370,1376,1082,3404,579
"2571749",1841,136,1357,1185,1155,986,3114,614
"1609758",1538,166,1079,1051,852,681,2451,447
"1016987",1067,213,754,621,1460,1702,5433,330
"2780074",1015,170,871,655,719,3724,7220,349
"702113",607,76,475,396,695,710,1465,198
"164608",438,36,279,240,224,278,695,113
"158500",2304,468,1437,1542,1322,1003,3277,713
"279238",1438,153,1331,997,1010,894,2642,455
"1176536",1298,107,948,853,692,617,1818,388
"1088721",681,53,492,386,372,391,1227,171
"2762748",1467,191,1808,971,1565,1091,13004,941
"2711215",1122,133,1245,798,1124,731,2375,451
"941907",2353,490,4154,1868,3989,3004,6372,2122
"2584094",484,54,546,299,355,276,960,170
"2077182",425,53,497,323,462,315,1020,211
"1806885",381,41,403,248,324,209,752,147
"2725558",177,33,156,115,152,78,390,54
"392610",307,41,328,206,273,307,870,120
"2026624",1317,173,1683,953,1373,986,2620,550
"2724527",419,51,481,293,385,263,742,166
"1850238",1680,194,1930,1231,1547,1100,4089,671
"1842535",362,53,366,233,309,283,1132,133
"1550728",239,19,284,184,262,407,1147,111
"1921510",1040,124,1139,695,1125,722,2643,504
"1634516",1026,97,984,640,811,535,2125,374
"2762729",767,84,794,487,728,530,1677,364
"2806553",199,17,193,148,184,99,390,56
"120045",37,0,38,34,35,27,127,24
"120044",22,2,53,16,13,20,70,9
"2633097",5070,420,4710,3172,3745,2714,9116,1903
