"","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report"
"438753",2063,1630,1348,560,2076,1353,1145,1086,1626,1258,1449
"2789216",2223,1638,1319,593,2299,1323,1165,1120,1548,1190,1407
"2712222",3562,4473,3534,692,4135,2773,1775,2828,4000,2104,2407
"1235591",3933,3627,4704,1173,4616,2463,2074,2350,3440,1785,2795
"1482074",1961,1417,1423,575,1846,1186,1087,1052,1502,1083,1366
"573658",23,22,31,6,20,17,8,23,17,11,23
"134",1171,951,866,294,1267,861,657,666,1007,736,868
"173366",1139,1084,739,272,1228,849,668,732,1020,719,921
"655015",1284,1006,729,290,1224,862,676,727,988,726,840
"391905",1177,922,712,266,1154,871,651,716,925,732,914
"187303",692,562,444,179,768,544,404,416,603,422,568
"595536",1651,1164,1008,331,1779,1116,941,1003,1337,927,1145
"2699395",1304,1021,808,302,1343,923,781,745,1189,797,942
"1349819",1908,1187,1249,646,1631,1082,941,915,1375,949,1200
"2758041",1488,1018,1182,545,1396,850,824,826,1126,770,975
"2816454",1351,944,957,456,1145,700,742,680,950,676,867
"1638161",5,5,2,3,6,2,3,3,0,2,6
"1701758",1607,1008,1107,583,1419,852,900,830,1209,874,1012
"686597",551,315,366,208,465,264,277,238,337,264,342
"1122214",908,590,626,360,877,540,497,467,630,523,626
"1486262",842,629,620,362,789,521,470,442,623,453,522
"2583532",430,300,359,208,477,278,308,253,388,284,302
"538381",2579,1694,1754,771,2310,1442,1418,1293,1961,1264,1716
"1881061",1251,1021,916,438,1137,798,748,735,1060,711,872
"2021862",709,533,496,243,703,461,422,420,553,354,479
"2590016",327,258,204,91,326,220,196,186,294,212,254
"2587861",300,289,217,106,283,185,166,184,230,150,207
"2587854",90,61,59,26,82,56,67,52,86,61,68
"1674922",66,57,54,18,70,48,40,27,53,46,51
"244592",417,297,289,144,326,211,196,203,261,194,268
"187304",124,79,84,30,76,54,68,66,89,58,70
"1402210",393,162,214,165,256,136,164,139,197,143,201
"911045",205,162,163,57,188,137,95,110,164,105,136
"1702325",2770,1710,1650,757,2404,1488,2316,1560,2005,1493,2386
"444444",1585,1064,928,388,1323,830,1091,846,1171,856,1211
"395965",1127,934,801,278,1201,794,645,669,989,666,795
"227605",1041,826,615,240,1090,695,560,562,831,618,698
"569860",992,886,604,224,1127,722,558,623,814,560,707
"31994",545,432,332,155,534,376,316,316,453,336,404
"402881",1248,1080,894,407,1471,909,809,859,1227,712,963
"1712261",878,695,665,245,993,604,541,606,756,522,691
"1458461",393,330,266,101,455,266,271,287,309,268,325
"94625",729,342,796,1941,505,345,426,383,555,318,390
"2632610",272,184,278,150,268,163,150,136,226,177,158
"271865",238,165,214,116,219,131,110,107,168,100,147
"529",188,115,474,423,173,95,89,76,146,87,121
"419475",107,71,65,52,92,62,44,52,86,39,66
"571256",104,54,68,47,79,47,48,61,96,68,65
"1218315",13,10,61,82,18,9,9,8,16,4,11
"29459",23,13,12,5,21,19,14,22,22,17,23
"235",3,2,6,0,4,7,4,2,1,3,0
"236",7,7,2,1,3,3,5,6,10,6,4
"29461",7,6,3,1,4,1,16,7,10,15,11
"120577",2,4,5,0,1,2,0,2,2,2,2
"36855",1,1,0,0,0,0,1,0,1,0,1
"120576",0,1,1,4,3,3,2,1,4,1,1
"444163",1,3,1,1,1,0,1,0,0,1,1
"239106",91,63,97,60,92,44,43,45,82,42,73
"2304600",1714,1374,1313,549,1781,1205,993,1036,1454,1045,1159
"1798205",348,303,244,123,371,251,182,214,333,232,268
"2528642",1217,919,740,267,1208,845,611,598,962,730,902
"1686310",94,65,129,49,130,87,59,64,100,54,68
"2759660",26,15,15,9,26,12,17,9,28,13,16
"515256",7,6,1,0,1,1,0,1,2,0,1
"1933904",5,5,3,4,5,7,0,5,5,3,3
"1933910",0,0,0,0,0,0,0,0,0,0,0
"40933",8,5,1,1,7,2,3,6,3,1,2
"2267275",5,6,10,1,8,1,2,4,9,6,5
"1094489",13,15,4,6,25,13,6,8,14,12,10
"52764",5,6,10,1,11,2,1,1,5,4,3
"634504",7,5,4,0,3,7,5,4,10,13,4
"1225179",0,1,0,0,2,1,0,1,0,0,0
"687861",5,3,5,1,7,7,5,7,1,2,9
"774",9,10,13,2,15,6,8,4,6,5,7
"1095900",5,2,4,0,4,1,1,2,3,4,0
"1318743",4,7,7,5,8,4,6,2,5,10,5
"1094491",7,6,4,0,7,7,3,2,8,6,4
"38323",5,5,2,0,3,7,0,0,4,5,1
"85701",8,6,3,2,8,5,2,6,3,2,3
"696125",3,2,1,0,0,3,2,1,1,0,5
