"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"1852022",1781,157,1785,1156,818,973,974,1352,1297,941,699
"1620421",837,73,763,528,346,419,446,521,570,405,247
"411684",765,66,663,495,315,387,392,485,457,314,250
"2742145",1370,100,1327,814,676,725,695,918,877,615,495
"1867719",839,76,817,585,389,387,475,480,483,450,305
"2718938",496,29,380,333,201,230,202,281,274,182,163
"2712698",538,48,432,404,232,323,258,355,379,322,171
"2305987",43,4,42,44,22,23,14,38,25,17,15
"2613769",10462,1207,9853,6803,5956,5893,5384,6819,6100,6018,4236
"384",5446,579,5108,3422,2470,2804,2686,3652,3013,2598,1883
"29449",2081,304,2436,1392,1056,869,774,1030,887,935,674
"348824",1151,107,857,703,494,572,530,667,556,492,352
"396",1086,121,909,617,378,528,442,612,512,507,343
"1312183",1004,101,849,636,498,728,482,610,633,507,416
"379684",921,115,990,614,701,560,639,639,662,486,375
"1138189",722,101,683,482,417,392,385,508,442,388,403
"56730",717,84,855,512,371,326,449,476,388,404,238
"1138194",676,89,595,467,322,334,329,463,376,299,299
"293958",666,56,599,475,318,386,314,401,432,348,209
"1138190",660,86,501,358,263,334,296,366,299,284,248
"398",615,55,556,380,339,357,330,401,358,370,234
"1368430",584,52,582,367,495,287,301,397,357,329,227
"451876",548,52,454,326,540,249,428,322,564,445,760
"240521",494,72,502,318,353,280,290,384,337,260,205
"2583231",401,40,396,241,176,215,186,264,203,190,123
"1335061",368,42,378,238,491,235,338,360,243,221,187
"1538158",365,47,298,199,135,157,176,220,161,167,127
"2267833",333,36,293,238,199,164,224,221,218,191,127
"648995",242,74,336,183,214,144,378,185,340,144,251
"1538159",108,12,109,78,57,68,61,89,79,56,52
"2081791",101,12,89,58,47,36,31,40,50,41,25
"448181",3,2,21,3,7,0,15,5,2,11,6
"1183400",3249,1451,5564,2116,1921,1612,11036,2506,1884,1574,1209
"373",1138,116,1038,848,638,562,573,784,710,558,380
"2632611",1010,129,1007,590,767,571,990,726,660,530,309
"359",684,85,528,348,293,291,317,378,352,238,181
"28099",416,60,422,284,274,241,251,295,290,255,149
"160699",383,50,390,248,273,211,241,263,224,202,159
"1183412",1,0,3,1,9,1,5,3,3,8,7
"399",2125,340,2182,1395,2395,1533,1316,1485,1403,994,1091
"2629175",1701,263,1852,1010,1619,1088,1139,1159,1134,925,745
"1125847",160,8,167,84,131,91,82,96,101,69,64
"663276",6087,922,7435,3747,3636,2641,3565,3882,2779,2855,2034
"382",4028,2118,16399,2519,48209,2431,7869,7639,3758,7106,5061
"2613772",2787,359,2570,1716,1514,1336,1592,1800,1556,1234,984
"194963",2681,679,5925,2355,1054,724,836,1073,707,744,537
"110321",1140,166,1573,695,2094,629,800,1065,754,699,559
"106592",4501,626,4626,3392,1543,1378,1427,2251,1476,1138,907
"375549",1655,155,1642,1104,1551,1055,1131,1299,997,870,707
"2633371",1308,148,1152,1253,518,588,566,1004,637,517,356
"1752398",1141,124,1144,812,786,645,796,969,793,703,488
"716925",1031,102,1057,659,720,595,680,841,723,651,451
"879274",2375,239,2097,1330,1296,979,3680,1519,1221,907,769
"2715959",1698,191,1819,1098,952,891,1153,1150,1133,806,621
"2795690",3237,240,2785,2064,1240,1693,1547,2037,1756,1380,1050
"2341112",1366,123,1366,834,637,674,703,809,850,693,470
"1969821",1144,113,1161,751,741,718,653,806,725,565,419
"1273132",26,1,6,9,6,15,11,5,10,12,8
"1174529",1,0,0,3,0,0,0,1,0,4,0
"658172",10,0,5,2,3,4,2,5,3,1,1
"34020",7,3,4,5,34,11,3,20,2,22,5
"1261131",7,1,14,8,7,3,2,6,5,2,2
"426117",3668,399,4337,2689,1780,2274,2001,2757,2499,1891,1105
"2202828",2180,212,2424,1504,949,1268,1170,1569,1533,1066,656
"2603276",1551,181,1760,1051,715,918,857,1157,1088,780,468
"2202826",1549,177,1793,1055,728,941,911,1201,988,809,463
"925818",742,76,732,481,285,368,404,491,440,369,209
"2067957",463,77,513,364,250,281,254,393,305,250,158
"1479019",297,44,302,207,120,197,183,227,202,159,89
"739141",113,13,156,88,59,77,66,87,78,66,44
"2696060",1,0,0,0,0,2,0,0,0,0,0
"460265",3457,365,4114,2544,1542,2434,1928,2417,2677,1719,930
"270351",3235,332,3650,2307,1401,1866,1693,2320,2102,1476,899
"2202825",2511,293,2868,1766,1176,1407,1381,1839,1609,1228,787
"2051553",1707,168,1927,1114,742,956,941,1397,1110,802,520
"2202827",1626,175,1942,1023,688,986,963,1362,1175,839,520
"908290",1590,188,1922,1153,767,956,986,1239,1035,827,484
"269660",1443,163,1706,1072,698,882,869,1151,1017,768,467
"1775910",1424,158,1649,918,619,814,799,1035,948,678,388
"426355",331,87,402,254,165,225,196,288,267,169,114
"418223",256,31,221,162,97,153,138,192,141,93,50
"693986",77,5,112,60,41,70,37,58,52,43,15
"2807101",5813,2117,16406,6697,9550,2642,5961,5210,2840,4602,1534
"2082949",2311,528,4063,1977,2697,1440,1807,1807,2092,1598,920
"1882682",6226,2081,16607,6605,7527,2664,5320,4641,3025,3910,1472
"2651334",3209,513,4923,2542,3283,1811,2368,2418,2165,1998,1081
"441620",433,53,451,293,188,277,307,328,351,218,140
"272630",685,223,880,518,311,406,391,555,428,359,231
"440085",274,68,306,205,113,140,149,186,183,127,56
"419610",198,77,246,162,116,144,137,200,133,120,73
"29429",67,10,66,40,27,39,33,38,36,30,19
"674703",22740,917,9164,14259,3278,11716,4355,8036,10221,5350,6340
"444923",6,1,7,5,5,4,4,11,5,5,3
"1736675",3923,962,4489,2416,3524,1718,1980,2125,2212,2113,2901
"2801335",1192,297,1467,844,1547,552,805,781,794,729,883
"2657486",1156,158,1159,787,1035,641,767,744,799,638,700
"2499144",978,94,1053,588,764,521,594,720,725,599,545
"2083786",963,115,770,523,808,432,618,599,545,521,527
"2774137",928,146,966,548,841,492,609,653,726,657,584
"2664417",506,64,478,318,391,298,330,374,417,370,341
"2759954",426,42,389,264,245,210,237,254,239,222,205
"400770",1409,229,1742,826,1284,651,1094,1056,934,946,1055
"582899",1699,98,1161,1140,475,819,567,1006,712,799,511
"670307",1361,114,912,907,453,993,543,915,827,1730,464
"1029756",3132,196,2066,2277,815,1201,927,1885,947,799,650
"717785",1662,92,1081,1055,441,762,468,974,689,1109,545
"2233851",3009,198,2470,1955,1034,1606,1254,1975,1662,1278,917
"1079",2632,165,2146,1743,894,1388,1137,1641,1368,1074,780
"1384459",1368,77,1051,831,448,772,509,917,579,523,378
"2170729",1320,79,996,723,377,651,496,907,584,435,348
"2742204",2012,127,1542,1256,662,1134,829,1350,1018,768,543
