"","X1qGgM2TOMPOOM080340.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report"
"2649176",1194,1062,736,805,278,629,1110,851,663,699,115
"545619",1054,782,577,612,198,445,846,688,592,509,85
"262209",1529,1450,1111,1116,349,733,1553,1259,912,967,202
"53458",1039,1007,774,684,220,520,921,900,604,666,121
"857417",602,571,434,377,122,262,561,470,308,405,82
"2649294",317,335,282,242,72,167,374,257,165,236,43
"2637926",1615,1768,1310,1347,373,931,1697,1446,973,1188,299
"1690220",1474,1596,1170,1122,338,789,1599,1391,949,1094,193
"53358",1742,3001,1328,1576,481,1107,2196,1608,1147,1817,515
"443156",1466,1875,1716,1766,372,858,1858,2190,1271,1093,335
"2643346",1224,1393,1452,1361,282,709,1422,1632,967,926,225
"2663846",1371,1390,1040,1104,296,803,1430,1238,870,992,203
"2615080",3466,3568,2550,2786,731,2096,3681,2881,2267,2872,432
"1288636",1204,1244,866,933,275,724,1268,995,795,941,169
"2593973",653,807,572,563,191,377,745,629,529,604,103
"767452",1110,1195,745,815,237,625,1134,919,619,876,119
"1078471",910,1052,709,690,223,533,1002,801,618,707,128
"247333",868,958,603,677,218,489,881,717,567,755,124
"1758689",987,958,663,772,229,559,1073,732,637,668,107
"2614124",3931,2554,1567,1515,445,1040,2026,1614,1157,1345,638
"33889",2510,1820,1248,1307,407,1002,1768,1413,898,1279,214
"1703",1443,576,456,331,138,276,510,445,295,480,61
"199591",700,574,433,387,116,304,513,455,304,399,62
"273384",919,472,305,299,115,223,431,342,240,285,53
"629680",543,415,228,215,82,165,317,249,152,229,28
"358099",947,343,226,213,68,177,338,251,165,226,42
"1136497",475,215,136,143,54,126,231,137,146,137,24
"2623841",2755,1898,1468,1289,495,949,2039,1511,1076,1246,193
"556288",1337,849,655,594,195,447,851,662,519,526,97
"1331682",1259,807,560,564,209,422,841,574,427,538,110
"43669",3187,795,615,586,204,463,880,648,453,537,73
"2017484",1099,681,422,439,149,300,649,438,345,422,79
"2017485",1006,579,426,416,125,304,679,455,308,344,58
"1630135",230,281,220,155,63,133,247,224,101,192,21
"1667168",274,272,200,184,56,140,287,231,98,195,18
"472569",170,124,123,96,44,72,146,130,66,91,15
"2626815",4162,2991,2140,2359,673,1609,3119,2404,2509,2286,379
"2483799",1419,1323,920,941,258,745,1339,1052,956,908,143
"1274",950,911,727,640,250,464,909,820,518,608,111
"2643059",795,726,528,444,167,318,651,617,420,437,89
"571913",1205,1271,1067,1139,337,672,1407,1153,846,818,159
"2649892",687,728,587,496,156,339,713,598,424,452,86
"84757",1911,2101,1391,1533,434,1007,1958,1588,1111,1340,243
"2626367",1469,1338,1021,927,286,646,1322,1085,800,816,152
"2648503",3954,3404,2456,2732,761,1803,3480,2648,2223,2461,378
"60920",1458,1175,842,792,293,663,1225,1026,778,819,157
"2645534",1200,941,827,744,230,526,898,797,613,618,120
"1133546",1547,1533,1014,1061,306,748,1434,1179,849,884,175
"2649508",586,616,373,430,127,302,564,443,329,397,70
"100225",361,415,246,328,80,177,370,257,208,253,36
"1863",114,102,101,90,32,39,104,83,73,84,15
"1276",1013,1000,760,631,198,534,1026,850,607,669,112
"43674",99,94,43,52,22,44,82,61,33,86,8
"2039",30,60,44,53,4,22,47,57,33,34,6
"1797",1417,4172,790,753,251,530,1021,791,505,641,130
"1791",5129,1990,1505,1348,376,869,1853,1461,937,1272,352
"758802",2864,1989,1582,1398,448,918,1928,1693,1023,1215,211
"2636767",2253,1689,1305,1130,334,752,1526,1328,770,998,188
"1772",2562,1440,2891,1333,347,786,2454,2673,844,1894,152
"36813",10170,1411,1232,906,339,622,1356,1191,692,804,151
"36814",1993,1407,992,692,180,442,824,845,520,631,141
"46351",1770,1379,1065,965,278,590,1279,1054,610,777,146
"370526",3564,1349,2049,963,313,562,1349,1692,1005,853,165
"117567",1442,1330,716,629,200,456,912,700,505,544,418
"1771",2492,1299,1148,886,289,677,1321,1090,671,876,150
"212765",1348,1296,961,924,257,608,1299,934,522,841,134
"1286181",1457,1278,908,853,256,580,1182,951,585,821,134
"53462",1496,1262,1014,882,262,585,1326,1065,620,879,146
"39691",2217,1252,1077,669,227,484,1109,1008,553,663,146
"1800",1556,1250,1104,782,286,565,1157,1030,581,722,129
"1286180",1399,1240,885,893,285,565,1066,1001,578,706,128
"216929",1417,1203,948,827,233,628,1191,879,629,709,145
"1792",9238,1185,874,747,235,528,1098,857,742,696,146
"1804",2226,1180,875,710,232,534,970,893,548,621,141
"1810",1530,1130,834,735,239,530,1049,765,566,703,122
"39692",1664,1103,1150,654,256,534,1183,935,535,836,129
"134601",1464,1053,6229,1449,249,622,4807,4690,606,5178,104
"1249101",6247,1039,1257,759,231,446,987,1156,908,645,119
"39695",1081,1010,758,643,213,524,1014,728,474,902,103
"146017",1379,992,669,561,177,393,821,724,430,550,198
"39688",10385,983,777,690,225,434,997,797,615,673,112
"258505",1163,979,713,687,213,442,968,757,431,599,130
"28047",1149,935,636,660,194,438,929,665,461,592,114
"1793",1125,924,649,682,184,523,909,788,455,637,119
"1794",1345,855,646,422,156,327,677,586,409,439,108
"444597",900,785,657,521,161,429,792,550,408,455,89
"1534349",804,751,456,453,160,296,640,485,256,395,73
"56689",889,730,516,571,156,372,700,566,458,425,103
"1431246",860,729,578,534,156,366,719,587,373,484,82
"319706",1186,689,495,488,132,438,655,508,1027,459,127
"126673",798,677,441,493,150,374,707,510,526,428,61
"319707",799,629,462,446,151,380,633,469,335,452,91
"1766",6440,627,3713,1709,536,366,1787,5235,603,533,139
"67081",917,626,456,373,114,245,480,470,266,369,125
"1799",658,552,440,374,132,421,525,429,237,288,68
"1534348",554,492,338,303,106,224,424,373,207,242,56
"39694",363,282,214,204,51,124,242,250,184,153,31
"110539",282,204,143,126,43,123,217,121,91,98,18
"39687",288,196,121,135,34,76,199,139,101,103,22
"85693",227,185,160,161,32,90,160,152,115,110,23
"2487344",180,154,80,73,22,61,122,85,45,73,30
"2642494",9482,8661,6408,6489,2284,5935,7260,6832,4319,4364,1069
"2249310",6606,6450,4516,4472,1384,3072,6089,4767,2751,3826,671
"120793",4953,4731,5024,4439,1130,3083,4492,5536,2217,2794,450
"1778",1411,1393,966,918,307,623,1247,987,572,839,157
"1552759",1560,1321,1029,976,300,687,1420,1086,637,907,151
"482462",1233,1144,828,821,244,1023,1126,832,496,791,125
"77643",783,990,535,564,144,389,782,510,336,532,78
"39689",1332,960,613,423,140,294,642,564,329,442,131
"43348",989,960,689,697,206,473,947,768,419,573,98
"1389713",865,863,546,592,184,422,804,588,368,472,91
"44010",901,846,605,544,204,449,835,671,351,482,89
"1768",683,809,547,585,164,373,792,513,315,505,68
"1775",768,740,527,510,179,343,692,543,348,482,83
"486698",578,690,381,440,125,298,533,443,223,367,60
"169765",539,666,348,456,112,324,633,431,232,485,49
"110505",583,639,436,474,144,318,611,458,325,354,71
"398694",588,622,419,432,135,307,566,450,290,398,65
"29311",289,610,211,206,70,127,306,220,140,153,29
"459858",588,608,446,491,103,299,567,522,273,406,72
"590652",522,596,433,422,141,302,497,432,250,343,52
"1789",551,562,383,410,115,290,587,385,234,376,54
"386911",451,530,338,359,122,263,515,379,200,330,34
"2094119",498,465,315,304,108,209,464,351,195,282,44
"1769",90,141,52,70,29,46,88,60,28,53,13
"1781",120,133,115,139,26,70,129,92,45,69,16
"2492438",2209,64,43,56,14,33,80,62,56,53,10
"1809",30,62,29,44,14,29,62,31,30,31,6
"133549",43,42,18,22,9,24,35,26,16,20,1
"265949",8,17,7,5,5,8,15,8,6,17,3
"261524",21,13,8,10,2,9,10,9,8,1,4
"28045",0,1,1,2,2,0,5,4,0,1,0
"36809",1185,952,697,644,208,527,926,714,429,565,84
"1578165",392,378,254,254,82,188,365,323,171,217,51
"1774",441,371,274,243,97,192,338,261,158,244,47
"83262",467,361,314,263,104,226,415,306,138,315,53
"404941",371,329,225,202,71,156,314,247,137,167,33
"1520670",215,195,106,115,42,103,201,123,72,117,38
"1788",2594,665,526,513,121,354,801,587,362,481,73
"29314",1194,624,474,491,136,336,730,490,344,443,73
"1118379",1055,493,360,374,125,233,530,401,267,299,44
"875328",2021,86,61,45,14,57,66,64,64,41,8
"1069220",924,740,577,660,165,456,808,678,426,564,72
"639313",358,419,290,259,80,201,413,304,217,288,44
"192944",11419,12005,8371,8362,2645,6185,11720,9155,6243,7720,3958
"37919",1638,2223,1292,1576,476,1102,2050,1483,932,1409,317
"1830",1845,1661,1168,1096,321,772,1599,1134,958,1051,342
"43767",14168,1343,1005,1017,322,736,1308,1119,716,843,194
"1829",2720,1136,2271,753,296,664,1209,1300,643,1117,188
"99653",702,924,552,680,186,411,907,628,413,573,115
"1828",851,844,581,518,193,433,840,670,378,571,404
"300028",819,805,602,636,177,457,877,705,434,569,86
"132919",538,701,377,484,144,344,722,406,279,492,137
"38310",677,659,514,401,158,320,658,519,345,457,65
"103816",443,323,420,222,48,166,303,300,148,230,38
"1833",423,192,107,137,49,96,152,102,78,90,18
"334542",3279,183,118,117,33,74,144,111,89,104,86
"262776",105,138,61,66,15,56,99,76,42,77,12
"191292",90,102,56,73,28,37,152,72,42,58,19
"1500843",136,73,77,64,24,44,85,62,58,50,16
"37326",2926,3264,2581,2540,806,1732,3418,2725,1707,2161,428
"2637762",2166,2630,2277,2053,607,1516,2593,2014,1230,1743,289
"455432",1849,2276,1498,1841,501,1302,2508,1825,1139,1540,273
"135487",2444,2228,2131,1730,543,1237,2461,2372,1335,1495,291
"37329",1911,1798,1821,1347,377,975,2093,4942,885,1198,186
"1824",1265,1453,1021,1051,306,739,1442,1140,680,883,187
"228602",1162,1429,1075,1163,343,776,1650,1126,662,1004,150
"480035",1335,1397,1074,1104,332,726,1400,1177,757,906,140
"37332",1084,1220,791,839,256,632,1261,889,519,851,135
"2382165",1120,1218,915,925,288,625,1213,937,564,721,120
"1823",1084,1192,937,934,298,690,1373,937,639,771,124
"37330",1161,1155,919,834,303,612,1311,1042,563,718,129
"2213200",942,1116,812,755,245,517,1097,887,577,711,149
"2624378",2167,2046,1310,1337,457,977,1839,1498,881,1311,199
"191493",703,813,594,563,200,459,900,635,433,566,86
"1725",1050,796,590,541,245,396,866,633,512,520,89
"1230998",610,683,468,536,167,333,709,517,359,454,72
"36808",585,658,444,441,163,392,681,494,328,505,75
"1032851",505,558,348,367,109,282,493,365,227,370,61
"225326",572,519,385,374,114,293,584,410,316,375,48
"38305",482,430,331,288,117,201,491,350,227,251,46
"575200",413,429,252,328,98,237,458,282,186,349,51
"1727",367,424,256,241,93,258,345,251,180,277,38
"1223514",463,392,280,290,95,196,410,304,219,228,46
"2079535",306,354,204,222,89,165,341,240,157,202,32
"1072256",311,350,215,245,97,185,331,224,178,222,42
"2080740",340,348,199,262,60,175,315,216,152,224,41
"349751",397,347,255,267,77,196,437,277,171,249,40
"1121358",384,338,253,266,89,198,377,291,172,251,40
"89154",259,328,195,216,63,155,300,191,154,182,39
"441500",381,316,283,242,102,192,361,269,193,191,38
"38302",313,308,202,229,74,169,310,211,137,207,33
"191610",303,306,175,210,73,181,356,206,126,252,31
"1737425",290,289,192,207,71,145,253,217,125,198,20
"1404244",315,283,190,192,57,165,289,181,134,194,37
"2594913",278,280,233,201,80,156,271,228,144,183,20
"156978",325,280,191,167,76,157,293,221,132,223,32
"38289",353,277,200,174,74,130,273,189,171,196,23
"43771",310,251,174,173,63,131,256,197,100,122,33
"152794",220,223,135,143,57,110,186,134,106,155,31
"401472",196,221,163,177,56,129,230,162,119,145,17
"187491",163,212,142,158,54,126,255,165,94,176,33
"169292",179,205,101,156,37,78,181,106,85,113,25
"1231000",160,203,97,120,39,106,189,133,69,167,18
"161879",202,188,123,100,49,78,164,139,72,103,15
"43770",188,178,96,120,36,104,158,120,94,78,22
"136857",280,177,143,130,53,123,225,150,88,159,20
"39791",189,175,115,121,72,98,197,161,106,144,18
"38288",166,164,141,101,33,83,148,130,87,108,20
"38304",160,160,109,113,31,90,140,122,66,115,16
"203263",143,155,81,93,25,87,126,90,69,91,26
