"","cuu6M2TOMPOOB051315.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"1977566",0,0,4.44136707054978e-07,0,0,2.4444205977635e-07,0,0,0,0,0,"v_7952",18,1.45009498122127e-05,1278.67872403769
"197911",0,0,4.44136707054978e-07,0,0,2.4444205977635e-07,0,0,0,0,0,"v_8261",18,1.45009498122127e-05,1278.67872403769
"655314",0,0,4.44136707054978e-07,0,0,2.4444205977635e-07,0,0,0,0,0,"v_8271",18,1.45009498122127e-05,1278.67872403769
"2599805",2.50658566217335e-05,5.09326882450013e-05,2.93130226656286e-05,8.41517739910143e-05,2.85920538886838e-05,2.61553003960695e-05,2.97082509948769e-05,3.56811077454765e-05,2.95366693914564e-05,2.09840164300384e-05,1.43139673307552e-05,"v_17",17,2.48299150816904e-05,14653.6757343028
"454601",3.60321688937419e-05,3.94174717722184e-05,3.81957568067281e-05,5.04313822853951e-05,4.83281618826425e-05,3.05552574720438e-05,3.180530400628e-05,4.36456407243775e-05,3.75921246800354e-05,3.70568800785784e-05,4.69180040285866e-05,"v_239",17,2.20584991397185e-05,8596.22000964516
"2528964",0.00066189527641765,0.000602777293056059,0.000767024093083948,0.000857333498851716,0.000880534048961236,0.000626749441266562,0.00071614360339415,0.000671888002100088,0.000680877768439417,0.00067729261541209,0.00051371238309266,"v_246",17,1.69724537076325e-05,38268.9781383295
"29459",6.65811816514796e-06,5.31471529513057e-06,4.44136707054978e-06,6.26662146741596e-06,6.7052161774347e-06,4.3999570759743e-06,8.03870321037846e-06,3.82297582987248e-06,4.60311730775944e-06,9.8223055629967e-06,3.9761020363209e-06,"v_296",17,2.56180350967081e-05,25332.1925543759
"2267275",2.34992405828752e-06,1.32867882378264e-06,8.88273414109957e-07,2.38728436853941e-06,2.02421620450859e-06,1.4666523586581e-06,1.74754417616923e-06,1.5929065957802e-06,3.83593108979953e-06,1.78587373872667e-06,7.95220407264179e-07,"v_314",17,2.38891543239369e-05,114643.748048153
"634504",5.09150212628962e-06,1.32867882378264e-06,1.77654682821991e-06,8.95231638202279e-07,3.28935133232645e-06,1.4666523586581e-06,1.39803534093538e-06,1.27432527662416e-06,1.53437243591981e-06,1.78587373872667e-06,0,"v_317",17,2.29900912706623e-05,30587.1822817285
"2594473",0.00107704852671511,0.000892872169581936,0.00221979526186078,0.000948647125948349,0.000316283781954467,0.00130800946186325,0.00230710782137862,0.0010631058620237,0.00146877801428424,0.00167157781944816,0.000690251313505308,"v_365",17,1.5676684067786e-05,2494.84301365763
"999552",7.79391479332026e-05,8.28209800157847e-05,0.00010348385274381,8.56438267213514e-05,9.93131075337026e-05,7.65103647099976e-05,9.50664031836061e-05,9.68487210234361e-05,8.63084495204894e-05,8.12572551120636e-05,8.58838039845314e-05,"v_642",17,2.23523626447315e-05,42734.8757591892
"391626",3.75987849326003e-05,3.10025058882617e-05,4.57460808266628e-05,4.29711186337094e-05,4.66834862164793e-05,3.88662875044397e-05,3.94944983814246e-05,3.75925956604127e-05,4.14280557698349e-05,5.00044646843468e-05,2.38566122179254e-05,"v_673",17,2.46026669290951e-05,4583.35266011667
"2708539",0.000337997410383688,0.000412776221255141,0.000341096991018223,0.000517742297426985,0.000331465403488281,0.000400884978033214,0.000373275436029747,0.000419253016009348,0.000337945529011339,0.000331279578533798,0.000447709089289733,"v_705",17,1.66129514569558e-05,1786.13143826235
"1840283",0,4.42892941260881e-07,4.44136707054978e-07,0,2.53027025563573e-07,2.4444205977635e-07,0,0,0,0,0,"v_860",17,1.56995729716152e-05,33353.6690427271
"1840267",0,4.42892941260881e-07,0,0,1.26513512781787e-07,0,3.49508835233846e-07,0,3.83593108979953e-07,0,0,"v_862",17,1.36544868643836e-05,1074.7234153672
"1678129",4.03403630006024e-05,3.01167200057399e-05,3.86398935137831e-05,4.29711186337094e-05,4.01047835518264e-05,3.56885407273471e-05,4.05430248871261e-05,3.34510385113842e-05,4.25788350967748e-05,2.94669166889901e-05,1.51091877380194e-05,"v_892",17,2.4136516135261e-05,6624.51220020537
"1743162",1.1357966281723e-05,7.08628706017409e-06,7.10618731287965e-06,5.37138982921368e-06,1.03741080481065e-05,5.13328325530335e-06,5.94165019897538e-06,5.41588242565268e-06,1.91796554489977e-06,7.58996338958836e-06,2.38566122179254e-06,"v_1026",17,2.5823111684958e-05,13169.5940975911
"1743174",1.95827004857293e-06,6.20050117765233e-06,6.66205060582468e-06,6.56503201348338e-06,4.42797294736254e-06,2.4444205977635e-06,8.3882120456123e-06,6.05304506396476e-06,5.7538966346993e-06,5.80408965086168e-06,2.38566122179254e-06,"v_1027",17,2.53279975685122e-05,6359.70628966991
"1835254",3.52488608743127e-06,2.65735764756528e-06,5.77377719171472e-06,4.17774764494397e-06,1.51816215338144e-05,6.11105149440875e-06,5.94165019897538e-06,4.46013846818456e-06,6.13748974367925e-06,4.46468434681668e-06,3.18088162905672e-06,"v_1030",17,2.41196333815726e-05,6613.4930151284
"279058",0.000181727460507568,0.000209931254157657,0.000175433999286716,0.000198741423680906,0.000276685052453768,0.000186264849549579,0.000187336735685341,0.000188918722259532,0.000189878588945077,0.000168318599874989,0.000151887097787458,"v_1141",17,1.97870909018956e-05,5131.42353904611
"1173288",7.83308019429172e-07,3.98603647134793e-06,1.33241012116494e-06,3.28251600674169e-06,2.15072971729037e-06,2.68886265753985e-06,4.54361485804e-06,5.73446374480872e-06,2.30155865387972e-06,4.01821591213501e-06,0,"v_1398",17,2.45019969127484e-05,15644.1479144822
"658632",3.91654009714586e-07,1.77157176504352e-06,2.66482024232987e-06,1.79046327640456e-06,7.5908107669072e-07,1.71109441843445e-06,2.79607068187077e-06,1.91148791493624e-06,1.53437243591981e-06,1.78587373872667e-06,0,"v_1399",17,2.33464851866551e-05,28971.7783233954
"1523522",3.91654009714586e-07,0,0,0,0,2.4444205977635e-07,0,3.1858131915604e-07,0,4.46468434681668e-07,0,"v_1418",17,1.50813639585564e-05,4264.18889949455
"1628086",2.2715932563446e-05,1.77157176504352e-05,1.9986151817474e-05,1.90982749483153e-05,1.77118917894501e-05,2.34664377385296e-05,2.76111979834738e-05,2.13449483834547e-05,2.10976209938974e-05,2.00910795606751e-05,1.43139673307552e-05,"v_1523",17,2.55303939339784e-05,482.528927666591
"470",2.66324726605919e-05,1.28438952965655e-05,3.37543897361784e-05,1.96950960404501e-05,1.91035404300498e-05,1.34443132876993e-05,3.80964630404892e-05,3.69554330221006e-05,1.30421657053184e-05,1.83052058219484e-05,1.66996285525478e-05,"v_1561",17,2.54123148077558e-05,2529.49650136156
"1530123",6.65811816514796e-06,2.2144647063044e-06,1.24358277975394e-05,5.96821092134853e-06,5.06054051127147e-06,5.13328325530335e-06,1.39803534093538e-05,3.50439451071644e-06,5.7538966346993e-06,3.12527904277168e-06,2.38566122179254e-06,"v_1564",17,2.52448752903161e-05,2993.06566445805
"106648",4.30819410686045e-06,7.97207294269585e-06,5.32964048465974e-06,4.77456873707882e-06,1.03741080481065e-05,4.888841195527e-06,8.73772088084615e-06,3.37696198305402e-05,2.68515176285967e-06,5.35762121618002e-06,2.38566122179254e-06,"v_1574",17,2.46554402228852e-05,6424.76474679064
"1197884",1.17496202914376e-06,3.10025058882617e-06,4.44136707054978e-07,2.68569491460684e-06,4.93402699848968e-06,4.888841195527e-07,1.04852650570154e-06,1.27432527662416e-06,3.45233798081958e-06,4.46468434681668e-07,0,"v_1579",17,2.28034570040818e-05,8341.07000723636
"2778082",0.000300398625451088,0.000401703897723619,0.000329105299927739,0.000413895427395521,0.00056083440216166,0.000835502960315565,0.000307567775005784,0.000484880767755493,0.00032643773574194,0.000311634967407804,0.00027594148132067,"v_1734",17,1.79494543365882e-05,2125.13797753239
"208224",5.48315613600421e-06,7.52918000143497e-06,1.02151442622645e-05,1.07427796584274e-05,9.23548643307043e-06,1.00221244508304e-05,1.01357562217815e-05,1.24246714470856e-05,1.11242001604186e-05,7.58996338958836e-06,3.9761020363209e-06,"v_1748",17,2.58933195235629e-05,49594.498141917
"2774055",1.8016084446871e-05,2.56877905931311e-05,1.9542015110419e-05,2.29776120471918e-05,1.63202431488505e-05,1.73553862441209e-05,1.99220036083292e-05,2.29378549792349e-05,2.33991796477771e-05,1.91981426913117e-05,1.43139673307552e-05,"v_1893",17,2.5900696728742e-05,21788.2531071142
"82977",1.05746582622938e-05,1.06294305902611e-05,1.46565113328143e-05,1.31300640269668e-05,9.99456750976115e-06,1.12443347497121e-05,1.25823180684185e-05,9.55743957468119e-06,1.38093519232783e-05,9.37583712831503e-06,4.77132244358508e-06,"v_1900",17,2.61985852763951e-05,18893.4990991233
"2108399",8.61638821372089e-06,7.52918000143497e-06,1.06592809693195e-05,5.37138982921368e-06,8.34989184359792e-06,8.55547209217226e-06,7.68919437514461e-06,6.05304506396476e-06,6.5210828526592e-06,8.03643182427002e-06,3.18088162905672e-06,"v_2115",17,2.56699866516069e-05,5630.44065374705
"703",2.7415780680021e-05,2.08159682392614e-05,2.66482024232987e-05,2.74537702382032e-05,2.87185674014656e-05,2.63997424558458e-05,2.62131626425384e-05,2.51679242133271e-05,2.14812141028774e-05,2.76810429502634e-05,1.59044081452836e-05,"v_2172",17,2.50871779433532e-05,14712.5617209637
"2136172",2.07576625148731e-05,2.08159682392614e-05,1.86537416963091e-05,2.95426440606752e-05,1.60672161232869e-05,1.85775965430026e-05,2.37666007959015e-05,2.70794121282634e-05,2.03304347759375e-05,2.18769532994017e-05,2.06757305888687e-05,"v_2231",17,2.54718663236455e-05,2215.728117874
"1761789",3.91654009714586e-06,3.98603647134793e-06,5.77377719171472e-06,5.96821092134853e-06,1.25248377653969e-05,4.3999570759743e-06,5.24263252850769e-06,7.32737034058892e-06,5.37030352571934e-06,7.58996338958836e-06,9.54264488717015e-06,"v_2237",17,2.23468680864377e-05,13948.8598204915
"2589987",7.83308019429172e-06,2.65735764756528e-06,1.77654682821991e-06,6.56503201348338e-06,5.56659456239862e-06,7.33326179329051e-07,3.8445971875723e-06,3.82297582987248e-06,4.60311730775944e-06,4.91115278149835e-06,2.38566122179254e-06,"v_2365",17,2.48818113958696e-05,12530.9994574789
"60480",3.52488608743127e-06,3.10025058882617e-06,2.22068353527489e-06,2.08887382247199e-06,2.78329728119931e-06,2.19997853798715e-06,1.74754417616923e-06,3.50439451071644e-06,4.60311730775944e-06,3.12527904277168e-06,1.59044081452836e-06,"v_2373",17,2.43107891282151e-05,57177.4958367927
"238836",6.26646415543338e-06,4.87182235386969e-06,4.44136707054978e-06,5.07297928314625e-06,7.71732427968899e-06,3.17774677709255e-06,2.79607068187077e-06,5.09730110649664e-06,3.45233798081958e-06,4.46468434681668e-06,3.18088162905672e-06,"v_2406",17,2.43676592426532e-05,12727.7189526467
"58049",3.13323207771669e-06,2.65735764756528e-06,1.33241012116494e-06,4.17774764494397e-06,4.68099997292611e-06,3.66663089664525e-06,5.24263252850769e-06,3.1858131915604e-06,2.68515176285967e-06,2.23234217340834e-06,1.59044081452836e-06,"v_2470",17,2.43391909652923e-05,38574.6292430475
"1416627",1.1357966281723e-05,1.24010023553047e-05,1.19916910904844e-05,1.55173483955062e-05,1.1892270201488e-05,1.29554291681466e-05,9.08722971607999e-06,1.24246714470856e-05,1.22749794873585e-05,1.2054647736405e-05,7.15698366537761e-06,"v_2519",17,2.56252562525625e-05,21977.2254675327
