"","SRR11092499","SRR11092502","SRR11092506","SRR11092509","SRR11092512","t.0n7bM2TOMPOOA100365","t.1qGgM2TOMPOOM080340","t.9JUZM2TOMPOOB100355","t.a50wM2TOMPOOB051350","t.abKIM2TOMPOOA051320","t.aFJgM2TOMPOOM090325","t.AYtCM2TOMPOOA100360","t.cSObM2TOMPOOM080315","t.cuu6M2TOMPOOB051315","t.dSz8M2TOMPOOA051340","t.DYZgM2TOMPOOB100370","t.FvY2M2TOMPOOB051329","t.IGpcM2TOMPOOB051290","t.iYASM2TOMPOOA050195","t.nG3jM2TOMPOOA051345","t.Nm8MM2TOMPOOA051300","t.OeS0M2TOMPOOA051355","t.s9OmM2TOMPOOB051285","t.TECcM2TOMPOOA051310","t.vcXtM2TOMPOOB050180","t.wQqUM2TOMPOOA080335","t.XR8LM2TOMPOOB051125","nodos","degrees","closeness","betweenness"
"2014542",9.45446987127487e-05,7.59890341978342e-05,8.06430966949131e-05,7.56187912696305e-05,0.000103363476752897,0.000135247832375156,9.23075990462834e-05,7.14862478330731e-05,0.000105478456576251,0.000119050093633843,7.26644874550727e-05,0.000101628752629377,0.000107309948104798,0.000136480313701693,0.000116516749224559,0.00012879698956434,0.00014771840165685,0.000107697579255515,0.000145307077877974,0.000123064028218249,0.000107016929356024,0.00012074197790826,0.000119563662356349,0.000128144776585017,0.000142348723606445,8.09626458592667e-05,0.000113070468857588,"v_2690",314,1.63385344334613e-05,10445.4185537787
"108010",0.000104287854686963,0.0001015238108716,9.98438340032257e-05,8.94222214220234e-05,0.000119799365282509,0.000217922193323994,0.000102135373273102,0.000118602183904871,0.000139483451532177,0.000153379353438312,9.70667407049106e-05,0.000146614662517017,0.000176811209830703,0.00016129491619291,0.000168612062251108,0.000223455018039337,0.000220075381451476,0.000167116933327523,0.000214485162790267,0.000173509192938342,0.000199589855976879,0.000176279772695757,0.00018205698047781,0.000191064191309281,0.00020778147022615,0.000118913886105798,0.000144694399461558,"v_2738",314,1.61064312980173e-05,19267.3167781896
"1494608",4.4746345955652e-05,3.53795098491941e-05,4.32016589437034e-05,4.26105887312997e-05,4.38290360789668e-05,6.06141199974023e-05,2.95751710377147e-05,0.000113728121552616,5.10074924338886e-05,7.7477045063295e-05,3.74167883164181e-05,9.1449459151152e-05,4.94848983488446e-05,8.40312675270754e-05,5.32581548351776e-05,6.48640260697521e-05,6.63480956594325e-05,5.37249993067742e-05,7.31500323713718e-05,3.43692331059975e-05,6.3028375571646e-05,4.90349517269354e-05,6.30097918249443e-05,6.45665198217569e-05,6.13161168654854e-05,4.52252279604497e-05,8.44299279332389e-05,"v_4354",314,1.65390404048757e-05,6411.59755570511
"84112",6.89238070768511e-05,6.42984135520136e-05,5.63221627710504e-05,6.21154356857679e-05,7.01264577263468e-05,7.89632923775682e-05,2.7554507177995e-05,5.68640607763082e-05,7.11586005559187e-05,8.75553598682764e-05,2.49445255442787e-05,6.74788648314605e-05,5.89370699435678e-05,8.26213469309835e-05,5.8607227154868e-05,8.13127982309811e-05,9.41391847847042e-05,5.99145153559417e-05,8.27489053974794e-05,6.70754388036403e-05,7.3533104833587e-05,6.46769255753127e-05,7.95369503364051e-05,7.64256765237122e-05,6.71660644109558e-05,4.99691329912662e-05,7.100467437495e-05,"v_5279",314,1.72577444128052e-05,16564.5017429734
"2252",1.04648712315638e-05,1.47670997631419e-05,1.12004300965157e-05,1.74043249747562e-05,1.49749206603136e-05,2.59774799988867e-05,1.1297347942978e-05,1.94962494090199e-05,2.01511081220301e-05,2.55107343501093e-05,1.73527134221069e-05,2.52840515426883e-05,2.33524239399042e-05,2.87623801602741e-05,2.00008791084073e-05,2.57593979128681e-05,2.60384979191735e-05,2.22822577770031e-05,2.84656234567329e-05,1.77389590224503e-05,2.65900959442882e-05,1.81025090604815e-05,3.20213696159553e-05,2.6024260540402e-05,2.59997668687571e-05,1.26504134155104e-05,3.19222695719313e-05,"v_8060",314,1.70276529083231e-05,25433.9254590684
"1710539",2.0568884834453e-05,2.39965371151055e-05,2.3360897058447e-05,2.85070840103766e-05,2.66626636147048e-05,5.40166647595898e-05,1.57979174487172e-05,3.24937490150332e-05,2.86523568610115e-05,5.38559947391197e-05,5.36849571496433e-05,5.41801104486179e-05,4.36467923638686e-05,6.37284109433525e-05,3.8373779684735e-05,5.83465880436048e-05,6.00888413519388e-05,4.15935478504058e-05,5.56072644271062e-05,3.93583153310616e-05,4.69430088892989e-05,3.77867907573158e-05,4.49332122030341e-05,5.27073631198015e-05,4.1382962266105e-05,2.43520458248576e-05,4.08724386107906e-05,"v_8070",314,1.71762281003092e-05,21754.9810168828
"2740807",0.000102844424172265,9.72167401073507e-05,0.000102083920022529,9.63239364982198e-05,9.75196052757011e-05,0.00021235559046709,0.00010929954513938,9.42318721435964e-05,0.000158060254332173,0.000155898932139557,9.81512852937923e-05,0.000137092097650291,0.000163466967579329,0.000156501186166198,0.00017279829276217,0.000198005974318191,0.000228587967309667,0.000155480643155088,0.000215478149655036,0.000160204973671504,0.000180221761400175,0.000177158535271509,0.000178183427701687,0.000188099402133792,0.000204964828815368,0.00013409438220441,0.000151854534692645,"v_2753",313,1.60968385809027e-05,18221.1423494443
"59505",1.40734475183099e-05,1.44594518514097e-05,1.24804792504032e-05,1.47036538579837e-05,1.86273403335609e-05,3.0925571427246e-05,1.06544094421581e-05,2.43703117612749e-05,1.7947080671183e-05,2.9605049739633e-05,1.13877181832577e-05,2.44631407783153e-05,2.02943684239644e-05,3.21461895908946e-05,2.25591310873897e-05,2.63801062963107e-05,3.00444206759694e-05,2.50056448386368e-05,2.54866628624237e-05,2.3282383716966e-05,3.1514187785823e-05,2.79446499088987e-05,2.89225273950564e-05,2.33888923844119e-05,2.20998018384435e-05,2.15057028063677e-05,2.08837277573382e-05,"v_5180",313,1.7028812751175e-05,29981.3556102485
"2716812",0.000189811112682847,0.000174128718040381,0.000184007065871329,0.000269466962540191,0.000183351467597011,0.000356468753318056,0.000107921819780481,0.000297317803487554,0.000315490786535533,0.000504545634924384,0.000125807172310275,0.000415380846772737,0.000216287926491018,0.000513493081096659,0.000264430227282083,0.000392908406719168,0.000379060440861814,0.000320369350704912,0.000369060118072758,0.00021508487814721,0.000423800171161432,0.000336566066512836,0.000397942988533767,0.000368292699799613,0.000274514205189293,0.000271667628098086,0.000432591503544864,"v_5194",313,1.47271067126152e-05,34396.8879331705
"257708",0.000175376807535862,0.00023627359621027,0.000171206574332454,0.000232557790610967,0.000228276229577952,0.000276268438083398,0.000178736903227928,0.000295693116036802,0.000286838429674522,0.000295735550058675,0.000133398984432447,0.00031375209414336,0.000228520148554777,0.000309054594663338,0.000262337112026552,0.000310974900104745,0.000303949389171891,0.000274071770657138,0.000302860993754775,0.000261095303111691,0.000328601062225092,0.000305282118816082,0.0003279608017118,0.000299114285704874,0.000277330846600075,0.000239409073888535,0.000305499103193062,"v_695",312,1.4885160983016e-05,9809.61845481107
