"","iYASM2TOMPOOA050195.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"1146875",4.49288574007488e-07,1.14036788267895e-06,0,1.32867882378264e-06,0,7.95220407264179e-07,0,4.21450125592137e-07,0,1.34978769526788e-06,0,"v_6772",9,1.94020294522807e-05,4013.99910291975
"300825",1.39279457942321e-05,5.47376583685897e-06,6.88996468031856e-06,7.52918000143497e-06,8.03643182427002e-06,1.74948489598119e-05,4.23078658784241e-06,1.51722045213169e-05,3.1936918199173e-06,1.21480892574109e-05,4.4052087187891e-06,"v_3870",9,2.36921910538287e-05,4013.1803700824
"196600",4.49288574007488e-07,6.84220729607371e-07,2.15311396259955e-06,1.32867882378264e-06,8.92936869363336e-07,0,8.46157317568482e-07,8.42900251184275e-07,0,6.7489384763394e-07,0,"v_2589",11,2.11990163656406e-05,4009.5721028763
"68246",0.000421881970993031,0.000470971935546407,0.000322967094389932,0.000500026130683534,0.000507634610233057,0.000201985983445102,0.000392616995351776,0.000448422933630034,0.000257890614458322,0.000431257168638088,0.000299554192877659,"v_3061",154,2.00489193632463e-05,4007.91286594614
"38289",8.13212318953553e-05,7.38958387975961e-05,7.36364975209046e-05,7.70633717793933e-05,6.60773283328869e-05,6.2027191766606e-05,7.81285256554899e-05,8.68187258719803e-05,5.908329866847e-05,7.66004517064522e-05,5.06599002660746e-05,"v_3491",101,2.58839364290521e-05,4007.50484334934
"1661",5.97553803429959e-05,6.36325278534855e-05,3.87560513267919e-05,6.15621188352624e-05,6.42914545941602e-05,4.05562407704731e-05,6.26156415000677e-05,6.91178205971105e-05,3.67274559290489e-05,7.39008763159165e-05,6.16729220630473e-05,"v_3738",64,2.5851817382762e-05,4005.55880366982
"234831",0,4.56147153071581e-07,0,0,8.92936869363336e-07,7.95220407264179e-07,2.82052439189494e-07,0,0,3.3744692381697e-07,0,"v_2428",5,1.70718382955477e-05,4004.97951711931
"106370",0.000440302802527338,0.000537569419894858,0.000300574709178897,0.000579746860110493,0.000451379587463166,0.000139163571271231,0.000437745385622095,0.000573172170805307,0.000285036994927619,0.00041101035320907,0.000317175027752815,"v_3714",199,1.97640176295037e-05,4004.91721971081
"2213194",5.84075146209734e-06,7.98257517875266e-06,1.46411749456769e-05,7.08628706017409e-06,6.69702652022502e-06,5.16893264721717e-05,6.48720610135836e-06,3.79305113032924e-06,3.1936918199173e-06,7.08638540015637e-06,8.81041743757819e-06,"v_3939",14,2.10375731055665e-05,3999.49535215612
"372663",0.000319893464693331,0.000515902430123958,0.000402632311006116,0.000391960253015879,0.000344673631574248,0.000393634101595769,0.00191485400965748,0.000507004501087341,0.000250704807863508,0.000396162688561123,0.000336998466987366,"v_3279",7,1.81728969415014e-05,3999.18117858998
"1238",1.25800800722097e-05,1.07194580971822e-05,5.59809630275883e-06,1.06294305902611e-05,8.92936869363336e-06,3.9761020363209e-06,1.43846743986642e-05,6.7432020094742e-06,7.98422954979325e-06,5.39915078107152e-06,4.4052087187891e-06,"v_2705",50,2.86385245432155e-05,3998.50518624639
