"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"45655",3.32821878243603e-05,2.64312523127346e-05,2.2807357653579e-05,3.16168516110068e-05,1.95632485579776e-05,1.4210552153157e-05,1.58141890977233e-05,6.36176325811343e-06,"v_2879",313,3.13420673227606e-05,46165.6626380269
"54299",3.04616634324654e-05,1.76208348751564e-05,2.62284613016159e-05,2.99078326050064e-05,2.4549958974717e-05,1.63636661157566e-05,9.10897292028864e-06,1.19283061089627e-05,"v_4655",320,3.13420673227606e-05,57000.6825066483
"2785918",1.35385170810957e-05,2.20260435939455e-05,1.39124881686832e-05,1.53811710540033e-05,1.11242001604186e-05,9.04307864291811e-06,1.05006215608883e-05,6.36176325811343e-06,"v_2345",163,3.13401027955372e-05,22232.9923069087
"200991",1.80513561081276e-05,2.20260435939455e-05,1.39124881686832e-05,1.53811710540033e-05,1.15077932693986e-05,6.88996468031856e-06,1.13862161503608e-05,1.03378652944343e-05,"v_4016",164,3.13401027955372e-05,31049.1958940273
"69220",8.17952073649533e-06,4.4052087187891e-06,5.01761868378739e-06,6.83607602400146e-06,5.37030352571934e-06,4.73685071771901e-06,6.19916212630755e-06,1.59044081452836e-06,"v_1891",206,3.13381385145722e-05,59564.0903928376
"53442",1.10000451283903e-05,2.20260435939455e-06,6.15798656646634e-06,1.28176425450027e-05,3.83593108979953e-06,4.73685071771901e-06,4.55448646014432e-06,3.18088162905672e-06,"v_4465",163,3.13381385145722e-05,93144.1680703938
"1867846",7.33336341892685e-06,6.60781307818364e-06,5.70183941339476e-06,8.11784027850174e-06,6.13748974367925e-06,4.3062279251991e-06,1.1259702637579e-05,1.59044081452836e-06,"v_2675",130,3.13371564664222e-05,14076.1126192824
"1123366",2.5102667087865e-05,1.10130217969727e-05,1.59651503575053e-05,2.26445018295048e-05,2.14812141028774e-05,2.15311396259955e-05,2.30254593262852e-05,1.51091877380194e-05,"v_511",102,3.13361744798195e-05,12650.297671672
"2730848",3.66668170946342e-05,2.64312523127346e-05,2.55442405720085e-05,3.84529276350082e-05,2.10976209938974e-05,1.4210552153157e-05,1.75853782766684e-05,1.66996285525478e-05,"v_1335",285,3.13351925547582e-05,36808.6130621808
"1605721",1.15641500067693e-05,1.10130217969727e-05,9.5790902145032e-06,1.06813687875023e-05,4.21952419877948e-06,4.3062279251991e-06,7.33778374134363e-06,3.18088162905672e-06,"v_6130",186,3.13342106912327e-05,49524.1640502992
"2774188",1.12820975675798e-05,1.76208348751564e-05,5.70183941339476e-06,1.11086235390024e-05,4.98671041673939e-06,7.75121026535838e-06,9.99456750976115e-06,2.38566122179254e-06,"v_2767",110,3.1333228889237e-05,9954.76237948529
"55583",9.02567805406381e-06,2.20260435939455e-06,6.61413371953792e-06,8.97234978150192e-06,4.98671041673939e-06,3.01435954763937e-06,3.28935133232645e-06,1.59044081452836e-06,"v_4413",205,3.13302838523717e-05,121811.060214964
"681157",1.46667268378537e-05,1.76208348751564e-05,1.91581804290064e-05,1.32448972965028e-05,9.58982772449883e-06,9.04307864291811e-06,1.10066756120154e-05,5.56654285084926e-06,"v_637",126,3.1328320802005e-05,16138.1831726409
"301301",2.03077756216436e-05,2.20260435939455e-05,2.25792840770433e-05,2.86260683505061e-05,1.87960623400177e-05,1.4210552153157e-05,1.13862161503608e-05,7.15698366537761e-06,"v_4431",230,3.1328320802005e-05,36998.1827644317
"191026",1.29744122027167e-05,6.60781307818364e-06,8.43872233182425e-06,1.75174448115038e-05,6.90467596163915e-06,5.59809630275883e-06,5.44008104961683e-06,7.15698366537761e-06,"v_2868",75,3.13263579976192e-05,13623.1181130626
"2039",1.69231463513696e-05,1.32156261563673e-05,1.73335918167201e-05,1.62356805570035e-05,1.15077932693986e-05,1.4210552153157e-05,3.7954053834536e-06,5.56654285084926e-06,"v_3347",145,3.1324395439168e-05,10901.0685394872
"2609415",3.07437158716549e-05,1.54182305157618e-05,2.23512105005075e-05,3.2898615865507e-05,3.14546349363562e-05,1.93780256633959e-05,2.0748216096213e-05,1.82900693670761e-05,"v_2256",198,3.13234142521535e-05,27713.4781696162
"1109412",2.96155061148969e-05,1.98234392345509e-05,2.23512105005075e-05,3.50348896230075e-05,2.37827727567571e-05,2.19617624185154e-05,3.35260808871735e-05,1.19283061089627e-05,"v_2121",137,3.13224331266053e-05,38582.224643631
"1408159",3.44103975811183e-05,1.76208348751564e-05,3.32987421742254e-05,3.41803801200073e-05,1.6494503686138e-05,1.46411749456769e-05,5.44008104961683e-06,3.9761020363209e-06,"v_5168",311,3.13224331266053e-05,28510.1469621636
"1761794",3.10257683108444e-05,1.76208348751564e-05,2.32635048066506e-05,2.22172470780048e-05,1.76452830130778e-05,2.02392712484358e-05,1.78384053022319e-05,1.27235265162269e-05,"v_2315",209,3.13204710598847e-05,33626.2602529963
"762210",1.29744122027167e-05,4.4052087187891e-06,1.23159731329327e-05,6.40882127250137e-06,4.98671041673939e-06,3.01435954763937e-06,3.54237835789003e-06,3.18088162905672e-06,"v_3775",169,3.13204710598847e-05,43493.9617237544
"2562449",1.04359402500113e-05,4.4052087187891e-06,7.29835444914529e-06,9.8268592845021e-06,1.11242001604186e-05,6.02871909527874e-06,1.45490539699055e-05,7.95220407264179e-06,"v_1822",82,3.13194901187009e-05,49004.1184768249
"1291540",1.41026219594747e-05,1.54182305157618e-05,1.07194580971822e-05,1.06813687875023e-05,6.13748974367925e-06,5.16747351023892e-06,6.7052161774347e-06,3.18088162905672e-06,"v_5517",158,3.13194901187009e-05,34350.9410029987
"2774461",3.07437158716549e-05,1.98234392345509e-05,2.41757991127938e-05,2.47807755870053e-05,2.14812141028774e-05,9.04307864291811e-06,2.70738917353024e-05,1.51091877380194e-05,"v_1519",117,3.13185092389602e-05,10855.9341270451
"2621901",3.75129744122027e-05,1.10130217969727e-05,3.03337856792601e-05,3.37531253685072e-05,3.37561935902359e-05,1.63636661157566e-05,1.61937296360687e-05,1.59044081452836e-05,"v_5292",197,3.13185092389602e-05,30449.9547800813
"1298851",1.35385170810957e-05,6.60781307818364e-06,9.5790902145032e-06,1.15358782905025e-05,1.15077932693986e-05,1.33493065681172e-05,7.5908107669072e-06,4.77132244358508e-06,"v_5205",125,3.1317528420657e-05,17325.7118524245
"35787",1.94616183040751e-05,1.32156261563673e-05,1.77897389697917e-05,2.43535208355052e-05,2.22484003208373e-05,1.37799293606371e-05,9.488513458634e-06,1.51091877380194e-05,"v_4130",111,3.13165476637855e-05,9651.19186613385
"2643326",7.05131097973735e-06,4.4052087187891e-06,5.92991298993055e-06,8.97234978150192e-06,5.7538966346993e-06,4.3062279251991e-06,2.06217025834312e-05,5.56654285084926e-06,"v_4900",122,3.13165476637855e-05,14665.968937129
"2316383",1.86154609865066e-05,6.60781307818364e-06,1.45967088982906e-05,1.58084258055034e-05,1.30421657053184e-05,7.75121026535838e-06,1.01210810225429e-05,1.51091877380194e-05,"v_4520",66,3.13136057617035e-05,15379.5007321322
"2558361",3.24360305067918e-05,2.64312523127346e-05,2.60003877250801e-05,4.22982203985091e-05,2.57007383016569e-05,1.98086484559159e-05,1.78384053022319e-05,1.03378652944343e-05,"v_564",344,3.13116448007014e-05,74199.1731798582
"1855380",1.66410939121802e-05,1.76208348751564e-05,1.25440467094685e-05,1.83719543145039e-05,8.43904839755897e-06,7.32058747283847e-06,7.97035130525256e-06,1.03378652944343e-05,"v_1357",124,3.13116448007014e-05,9535.31967171449
"2047",2.25641951351595e-05,1.76208348751564e-05,2.16669897709001e-05,1.70901900600037e-05,1.68780967951179e-05,1.4210552153157e-05,1.05006215608883e-05,1.11330857016985e-05,"v_3263",204,3.1306743472544e-05,37761.104622654
"1686",3.52565548986868e-05,1.76208348751564e-05,2.80530499139022e-05,3.58893991260077e-05,2.03304347759375e-05,2.11005168334756e-05,1.45490539699055e-05,1.03378652944343e-05,"v_3773",320,3.1306743472544e-05,48483.4325366908
"1173032",1.91795658648856e-05,1.98234392345509e-05,1.27721202860043e-05,2.52080303385054e-05,1.84124692310377e-05,1.16268153980376e-05,6.95824320299827e-06,8.74742447990597e-06,"v_4598",156,3.13057633910403e-05,33918.8349598723
"863",7.05131097973735e-06,4.4052087187891e-06,6.15798656646634e-06,5.98156652100128e-06,5.7538966346993e-06,4.73685071771901e-06,5.31356753683504e-06,3.9761020363209e-06,"v_4482",165,3.1297924947576e-05,54270.9025883358
"256326",1.35385170810957e-05,6.60781307818364e-06,7.0702808726095e-06,1.36721520480029e-05,7.28826907061911e-06,7.32058747283847e-06,4.17494592179896e-06,3.9761020363209e-06,"v_1609",163,3.12949865431558e-05,26735.3904460866
"29459",6.20515366216887e-06,4.4052087187891e-06,5.24569226032318e-06,5.55431176950119e-06,4.60311730775944e-06,2.15311396259955e-06,6.7052161774347e-06,3.9761020363209e-06,"v_296",148,3.12930279133809e-05,55828.5198089739
"640030",9.02567805406381e-06,4.4052087187891e-06,6.61413371953792e-06,7.69058552700165e-06,8.43904839755897e-06,6.45934188779865e-06,2.06217025834312e-05,3.9761020363209e-06,"v_1266",125,3.12930279133809e-05,19565.2235653024
