"","FvY2M2TOMPOOB051329.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"84096",4.89298039534607e-05,2.20260435939455e-05,2.99466440006677e-05,2.18868377112491e-05,3.09378159986845e-05,2.95426440606752e-05,4.58274345487638e-05,4.26371238772779e-05,3.37561935902359e-05,3.20219098307019e-05,2.28230080035552e-05,"v_3551",198,2.68903947509949e-05,27828.8189931807
"89152",3.71191616198667e-06,0,3.50439451071644e-06,3.92191889623539e-06,2.35396426076947e-06,2.98410546067426e-06,6.29004003610483e-06,4.88550377760476e-06,6.5210828526592e-06,2.68886265753985e-06,2.15311396259955e-06,"v_4477",41,2.68889486421081e-05,183378.604941621
"195522",7.08638540015637e-06,2.20260435939455e-06,4.7787197873406e-06,1.26513512781787e-06,5.716770347583e-06,4.4761581910114e-06,4.94217431408237e-06,2.66482024232987e-06,3.45233798081958e-06,5.62216737485605e-06,2.58373675511946e-06,"v_5382",52,2.68889486421081e-05,33531.5462459672
"2107709",9.78596079069213e-06,8.81041743757819e-06,6.05304506396476e-06,4.68099997292611e-06,6.72561217362706e-06,6.26662146741596e-06,1.16815029241947e-05,1.90978784033641e-05,6.5210828526592e-06,1.17332188692648e-05,6.88996468031856e-06,"v_6129",32,2.68889486421081e-05,6372.23705444524
"91604",1.1473195409777e-05,8.81041743757819e-06,1.33804154045537e-05,1.1892270201488e-05,9.75213765175924e-06,1.01459585662925e-05,1.39279457942321e-05,7.10618731287965e-06,7.67186217959906e-06,8.31103003239591e-06,9.04307864291811e-06,"v_781",21,2.68875026887503e-05,14495.5575991636
"61652",5.6016189353617e-05,3.74442741097073e-05,3.66368517029446e-05,3.21344322465738e-05,3.39643414768166e-05,4.2672708087642e-05,4.85231659928087e-05,6.0846728866532e-05,2.72351107375767e-05,4.10662660424268e-05,2.28230080035552e-05,"v_1966",314,2.68867797703869e-05,44877.5732180809
"2163011",4.72425693343758e-05,3.74442741097073e-05,4.20527341285973e-05,3.77010268089724e-05,3.66545863462675e-05,4.44631713640465e-05,5.4363917454906e-05,3.99723036349481e-05,3.60577522441156e-05,3.78885192653343e-05,2.75598587212742e-05,"v_1095",232,2.68831657616001e-05,22518.0087601505
"189396",5.39915078107152e-06,4.4052087187891e-06,2.86723187240436e-06,4.68099997292611e-06,3.02652547813218e-06,5.6698003752811e-06,5.84075146209734e-06,7.10618731287965e-06,1.53437243591981e-06,3.9110729564216e-06,1.72249117007964e-06,"v_1700",33,2.68831657616001e-05,27179.1641705326
"1603886",4.31932062485722e-05,3.52416697503128e-05,3.15395505964479e-05,1.66997836871958e-05,3.29554996507726e-05,3.52124444359563e-05,4.22331259567039e-05,3.46426631502883e-05,3.10710418273762e-05,2.8599720993833e-05,3.14354638539534e-05,"v_3771",158,2.68831657616001e-05,17521.0251204519
"298386",7.76127924779031e-06,2.20260435939455e-06,4.14155714902852e-06,9.36199994585222e-06,5.04420913022029e-06,7.16185310561824e-06,8.53648290614227e-06,2.66482024232987e-06,3.83593108979953e-06,4.888841195527e-06,5.16747351023892e-06,"v_2646",38,2.68824430764268e-05,24221.6460657921
"406818",6.07404462870546e-06,4.4052087187891e-06,4.7787197873406e-06,2.65678376841752e-06,3.02652547813218e-06,4.17774764494397e-06,9.43506005415724e-06,6.66205060582468e-06,1.91796554489977e-06,3.4221888368689e-06,3.01435954763937e-06,"v_2144",52,2.68802752540186e-05,102084.148325826
"323261",2.36212846671879e-05,6.60781307818364e-06,2.70794121282634e-05,5.14909997021872e-05,1.44600661732982e-05,1.99935065865176e-05,1.7522254386292e-05,1.73213315751442e-05,1.41929450322583e-05,9.04435621172496e-06,1.55024205307168e-05,"v_2198",29,2.68795527242427e-05,9485.79911619169
"1052",4.28557593247552e-05,2.86338566721291e-05,3.88669209370369e-05,2.45436214796666e-05,3.86722699983556e-05,4.4761581910114e-05,4.67260116967787e-05,4.1304713756113e-05,3.49069729171757e-05,3.69107510262289e-05,3.48804461941127e-05,"v_2185",318,2.68788302333082e-05,31572.5604968953
"156213",6.07404462870546e-06,0,6.69020770227684e-06,4.04843240901717e-06,5.716770347583e-06,1.4025295665169e-05,9.88434862816473e-06,4.88550377760476e-06,2.68515176285967e-06,1.22221029888175e-05,5.59809630275883e-06,"v_4642",41,2.68788302333082e-05,16216.0478321754
"1453495",6.07404462870546e-06,0,3.82297582987248e-06,4.80751348570789e-06,6.72561217362706e-06,5.07297928314625e-06,6.73932861011232e-06,7.10618731287965e-06,6.90467596163915e-06,4.3999570759743e-06,2.58373675511946e-06,"v_1986",23,2.68781077812122e-05,33158.6616084164
"2282124",1.113574848596e-05,6.60781307818364e-06,9.55743957468119e-06,9.61502697141579e-06,8.07073460835247e-06,1.07427796584274e-05,8.98577148014976e-06,9.32687084815455e-06,1.26585725963385e-05,8.06658797261956e-06,7.75121026535838e-06,"v_1655",36,2.68744961031981e-05,16973.9693656464
"45067",1.38353238764958e-05,1.10130217969727e-05,7.64595165974496e-06,1.3030891816524e-05,5.38048973890165e-06,8.05708474382051e-06,6.29004003610483e-06,2.22068353527489e-06,1.07406070514387e-05,3.66663089664525e-06,4.3062279251991e-06,"v_2672",31,2.68723295622497e-05,58301.8068902414
"44930",5.19668262678134e-05,2.64312523127346e-05,3.217671323476e-05,2.04951890706494e-05,3.26192190420912e-05,4.058383426517e-05,6.33496889350558e-05,3.99723036349481e-05,3.56741591351356e-05,4.49773389988484e-05,2.19617624185154e-05,"v_5329",291,2.68723295622497e-05,45832.9439571633
"84022",6.07404462870546e-06,2.20260435939455e-06,2.86723187240436e-06,7.71732427968899e-06,4.70792852153894e-06,5.6698003752811e-06,5.84075146209734e-06,1.77654682821991e-06,4.60311730775944e-06,7.33326179329051e-07,1.72249117007964e-06,"v_4364",47,2.68716074595582e-05,44150.572928146
