"","cuu6M2TOMPOOB051315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"675090",0.000122587705040665,7.94436694273138e-05,8.8925976499941e-05,9.77765871952853e-05,6.38598568584293e-05,0.000106600194746323,8.59015700163874e-05,0.000135247630885724,6.44436423086321e-05,7.55270426332591e-05,8.0957084993743e-05,"v_3721",107,2.33918128654971e-05,10363.5996666238
"1891926",0.000168411224177272,0.000139820858192072,0.000126013587552049,0.000193320832217162,0.000134881566822477,0.000190132806367212,0.000136561470282462,0.000134791483732652,0.000118913863783785,0.000161592742378136,0.000100335110657139,"v_4862",107,2.23149532501729e-05,6895.87278243158
"44930",5.56148693794712e-05,4.49773389988484e-05,4.21450125592137e-05,4.01821591213501e-05,4.058383426517e-05,4.64846750861015e-05,2.64312523127346e-05,4.81235246490518e-05,3.56741591351356e-05,3.29333034738049e-05,2.19617624185154e-05,"v_5329",107,2.58277803605558e-05,23884.3813763206
"311230",8.49889201080652e-05,8.77546994597097e-05,6.91178205971105e-05,7.41137601571569e-05,0.000107427796584274,9.08722971607999e-05,6.60781307818364e-05,7.36677652210603e-05,6.5594421635572e-05,9.57261354305261e-05,6.6746532840586e-05,"v_990",106,2.43036990229913e-05,55431.9949765555
"359110",4.62151731463212e-05,3.9110729564216e-05,4.08806621824373e-05,4.82185909456201e-05,3.75997288044957e-05,6.74552052001323e-05,3.74442741097073e-05,4.47024210010149e-05,3.68249384620755e-05,8.03572604760838e-05,2.8421104306314e-05,"v_1502",106,2.58792474314847e-05,23021.8228065267
"2774460",2.97657047383085e-05,2.00442489016607e-05,2.06510561540147e-05,2.76810429502634e-05,2.59617175078661e-05,4.47371309099323e-05,1.54182305157618e-05,2.57723141485443e-05,2.18648072118573e-05,4.12764070205021e-05,1.72249117007964e-05,"v_1518",106,2.72643001254158e-05,155180.308170821
"316277",5.6789831408615e-05,3.81329613251106e-05,3.83519614288845e-05,5.17903384230735e-05,4.50599924561814e-05,4.997976343844e-05,2.64312523127346e-05,3.99128758937633e-05,4.29624282057547e-05,3.33724141867889e-05,2.66986131362344e-05,"v_2898",106,2.62715426649853e-05,55852.8937159522
"2282738",0.000498575554366668,0.000609882939141994,0.00048298184392859,0.000587998928475757,0.000426130259784285,0.000461351662508677,0.00038765836725344,0.000449304945775507,0.000360193929332176,0.000412764070205021,0.000366890619226963,"v_3059",106,1.87430884861207e-05,8602.26642863776
"936337",9.83051564383611e-05,6.3554935541851e-05,9.35619278814545e-05,6.83096705062952e-05,7.19169416022498e-05,9.47168943483722e-05,7.48885482194146e-05,0.000113124493961752,6.86631665074116e-05,6.71839390865619e-05,5.03828667248295e-05,"v_3165",106,2.39337513761907e-05,10344.5552459336
"2080742",0.000334472524296256,0.000217553433200952,0.000685699354338408,0.000276810429502634,0.000197846192042704,0.000323295672591307,0.000574879737801977,0.000767467585042935,0.000298819031895383,0.000228776681464698,0.000170096003045364,"v_3173",106,1.92366882117575e-05,7725.56135296422
"2626589",0.000106529890642367,0.000102665665106067,0.00011632023466343,9.37583712831503e-05,8.80311110898908e-05,8.87752441493969e-05,9.47119874539656e-05,0.000105826139512607,8.40068908666097e-05,7.86008176241476e-05,8.18183305787829e-05,"v_3274",106,2.33198078447834e-05,21796.1998584214
"38288",6.65811816514796e-05,3.61774248468998e-05,5.64743168293464e-05,4.82185909456201e-05,4.11806553573049e-05,4.57856574156338e-05,4.4052087187891e-05,5.6562246980876e-05,2.83858900645165e-05,3.64461891776774e-05,3.74641829492322e-05,"v_3502",106,2.53871541000254e-05,19031.8609238834
"2562717",3.36822448354544e-05,2.3710879798306e-05,3.32945599217789e-05,3.08063219930351e-05,3.13331073370798e-05,3.00577598301107e-05,1.54182305157618e-05,3.05618592557959e-05,1.72616899040979e-05,2.23946463621873e-05,1.46411749456769e-05,"v_5650",106,2.71849938833764e-05,125601.560433926
"320497",8.92971142149256e-05,9.99768024485272e-05,9.39833780070466e-05,0.000107598892758282,0.000127719713716859,9.71634561950092e-05,4.84572959066801e-05,8.21064875528846e-05,9.24459392641687e-05,0.000106703903255128,7.1483383558305e-05,"v_560",105,2.38038562247084e-05,27264.4168296885
"2714951",3.8773746961744e-05,1.9555364782108e-05,1.8543805526054e-05,2.76810429502634e-05,1.76062222179782e-05,2.51646361368369e-05,1.54182305157618e-05,2.2807357653579e-05,1.45765381412382e-05,2.41510892141236e-05,1.20574381905575e-05,"v_1842",105,2.72717355732519e-05,111122.210659231
"472759",2.62408186508773e-05,2.24886694994242e-05,2.40226571587518e-05,3.21457272970801e-05,3.04378756988775e-05,3.180530400628e-05,1.10130217969727e-05,2.14389161943643e-05,2.10976209938974e-05,1.97599820842829e-05,2.06698940409557e-05,"v_2196",105,2.74649821477616e-05,133682.717383373
"391936",0.000123371013060095,0.000123198798127281,0.000127277937928826,0.000128136440753639,0.00016114169487641,0.000191181332872914,9.2509383094571e-05,0.000107650728124893,0.000141162264104623,0.000143589203145789,0.000110239434885097,"v_2273",105,2.2842523642012e-05,55867.1897234967
"1420917",5.63981773989004e-05,6.15993990636403e-05,5.56314165781621e-05,5.75944280739352e-05,6.47550884966315e-05,6.36106080125599e-05,2.64312523127346e-05,5.2228849026696e-05,5.7538966346993e-05,6.19146105307531e-05,3.74641829492322e-05,"v_2323",105,2.5516713447308e-05,43271.8465055269
"824",2.42825486023043e-05,1.75998283038972e-05,2.10725062796069e-05,2.18769532994017e-05,2.2380790955057e-05,2.90092333244092e-05,1.54182305157618e-05,1.9614327582078e-05,1.6110910577158e-05,1.88817606583148e-05,1.85167800783561e-05,"v_2902",105,2.74047684297068e-05,151764.536998611
"674079",0.00020326843104187,0.000149109656463574,0.000226318717442978,0.000164300383962854,0.000179643148732591,0.000182094103156834,0.00019382918362672,0.000239021108209508,0.000186426250964257,0.000144028313858773,0.00014555050387173,"v_3218",105,2.12734273618823e-05,14100.1689417594
"638619",4.11236710200315e-05,3.03108154122674e-05,4.13021123080295e-05,4.33074381641218e-05,2.68569491460684e-05,3.8445971875723e-05,1.98234392345509e-05,3.2614521444618e-05,2.4549958974717e-05,3.02986391959005e-05,2.54067447586747e-05,"v_3769",105,2.64599264414045e-05,55065.6703355715
"33943",3.36822448354544e-05,2.27331115592006e-05,3.28731097961867e-05,2.99133851236718e-05,3.25267495213495e-05,3.53003923586184e-05,2.422864795334e-05,2.96495649496528e-05,2.22484003208373e-05,2.89813070569483e-05,2.45454991736349e-05,"v_4011",105,2.69527249204895e-05,62686.7291628338
"2610901",7.16726837777692e-05,4.27773604608613e-05,4.08806621824373e-05,4.73256540762568e-05,4.92377401011254e-05,4.54361485804e-05,3.96468784691019e-05,5.40534376389823e-05,3.79757177890154e-05,4.30328498724383e-05,2.49761219661548e-05,"v_5293",105,2.59013675922089e-05,32001.0378873365
"134",0.000288257351149935,0.000278419506085263,0.000276892732514034,0.000297347977497991,0.000378086161867429,0.000303373668982978,0.000222463040298849,0.000267074158123411,0.000332191632376639,0.00028190907773577,0.000233397553545791,"v_253",104,2.03218988782312e-05,32668.9275400485
"41899",0.000396745511840876,0.000408707123946057,0.000320723545575617,0.000349138315921064,0.000413597016849453,0.00038900333361527,0.000259907314408557,0.000324776772986966,0.000292681542151704,0.000410129405927116,0.000278612946760382,"v_945",104,1.96509982707122e-05,5896.53398389106
"354",0.000195827004857293,0.000155709592077535,0.000169844400613631,0.000185284400392892,0.00016352897924495,0.000266325732448191,0.000160790118235802,0.000142774058911405,0.000138477112341763,0.000275322417041009,0.000108516943715017,"v_1536",104,2.17807980484405e-05,10640.918732806
"592316",2.50658566217335e-05,2.27331115592006e-05,1.72794551492776e-05,3.57174747745334e-05,3.31235706134843e-05,3.25043216767477e-05,1.98234392345509e-05,2.16669897709001e-05,2.22484003208373e-05,2.76639749179961e-05,1.55024205307168e-05,"v_2008",104,2.74378532623608e-05,197600.104586048
"572477",0.000238517291916183,0.00025250864774897,0.000211989413172845,0.000267881060809001,0.000292442335146078,0.000246403728839861,0.000174005744392169,0.000212792646907892,0.000222867596317353,0.00020638203510251,0.000183014686820962,"v_2193",104,2.10035495998824e-05,3488.33299657005
"1909699",2.78074346897356e-05,2.05331330212134e-05,2.31797569075676e-05,2.94669166889901e-05,2.83490018764055e-05,3.66984276995538e-05,2.20260435939455e-06,2.18950633474359e-05,1.80288761220578e-05,1.80035392323467e-05,1.50717977381968e-05,"v_2887",104,2.73074822501365e-05,71992.6231031164
"2645534",0.000316064785839671,0.000219508969679162,0.000312715993189366,0.000254933476203232,0.000253052143065178,0.000253044396709304,0.000264312523127346,0.000307671254746781,0.000207140278849175,0.000230972235029618,0.000263971771814705,"v_3340",104,2.00284403853472e-05,16222.111282049
"1774",0.000112796354797801,8.26214162044064e-05,0.000120113285793759,8.75078131976069e-05,8.29581318067446e-05,9.7512965030243e-05,0.000103522404891544,0.000157370767809695,8.66920426294694e-05,8.43092568929404e-05,6.80384012181458e-05,"v_3428",104,2.32893940099679e-05,32794.807507329
"2527971",5.20899832920399e-05,4.42440128195194e-05,4.17235624336216e-05,6.92026073756585e-05,5.63995932067436e-05,6.53581521887292e-05,4.18494828284964e-05,5.17727018736244e-05,4.71819524045342e-05,4.47892927243746e-05,3.01435954763937e-05,"v_4855",104,2.59450483875152e-05,34784.2065735805
"57975",0.000186818962633858,0.000235886587684178,0.000177009052748698,0.000188856147870346,0.000202620760779783,0.0001817445943216,0.000162992722595197,0.000158283062115839,0.000144998195194422,0.000328893924025064,0.000154593582514648,"v_934",103,2.14403636285671e-05,6158.61465707217
"68570",0.000514241714755252,0.000496706265465544,0.000469916890035233,0.0005138851683186,0.00043717144998878,0.000432691938019501,0.000403076597769202,0.000478726437148624,0.000311477604491722,0.000346019241831443,0.000341914497260808,"v_3058",103,1.89483657034581e-05,6766.23995929366
"2643261",0.000201701815003012,0.000132243154339005,0.000236433520457189,0.000158496294311992,0.00015189096794832,0.000159376028866634,0.000207044809783088,0.000270039114618376,0.000177603609457718,0.000133050546034172,0.000127464346585893,"v_3221",103,2.15118530310201e-05,40087.6933166649
"358099",9.43886163412152e-05,8.26214162044064e-05,8.93474266255331e-05,0.000104027145280829,8.86279321820257e-05,0.000105901177075855,9.2509383094571e-05,0.000108106875277965,8.70756357384493e-05,7.77225961981794e-05,7.10527607657851e-05,"v_3319",103,2.36233493184664e-05,13869.0891963833
"1670830",0.00106138236632653,0.000716459677204482,0.000985771843760009,0.000794267345298687,0.000632928768209012,0.000952761084847464,0.000577082342161372,0.000912522379719698,0.000507493683180478,0.000702577140774504,0.000481436282037259,"v_3832",103,1.73439478294049e-05,9784.16279505534
"2023214",3.64238229034565e-05,2.8599720993833e-05,2.78157082890811e-05,2.81275113849451e-05,2.77521807842707e-05,4.05430248871261e-05,2.422864795334e-05,2.69126820312233e-05,2.26319934298172e-05,2.41510892141236e-05,2.28230080035552e-05,"v_4609",103,2.68355517389438e-05,52336.181489798
