"","oAVVM2CHIPOOB051360.extra.kraken2.report","X3xfYM2CHIPOOA051365.extra.kraken2.report","jYxWM2CHIPOOB051110.extra.kraken2.report","hoQoM2CHIPOOA051115.extra.kraken2.report","j1iWM2CHIPOOBXX1561.extra.kraken2.report","eBCjM2CHIPOOBXX1180.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"38304",3.32886821143906e-05,4.01737514751299e-05,5.1368636203263e-05,4.33540759698051e-05,3.60239816792322e-05,6.00944808963622e-05,"v_3464",64,3.23907621546335e-05,22389.0656991063
"84757",0.000429202074728209,0.000495715397666335,0.000512334555816755,0.000586222505504756,0.000478604328024085,0.000539082843335014,"v_3165",135,2.32433814471329e-05,22383.9351502199
"2779528",8.87698189717082e-07,4.30433051519249e-06,0,5.6548794743224e-06,0,2.65122709836892e-06,"v_2932",31,2.94915654122921e-05,22375.137859151
"1309",8.87698189717082e-07,2.869553676795e-06,0,4.039199624516e-06,1.28657077425829e-06,2.65122709836892e-06,"v_4221",17,2.79103519495381e-05,22371.7123862122
"279828",0.000156678730485065,0.00013773857648616,0.000191956482654299,0.000167222864454963,0.000168540771427836,0.000137863809115184,"v_3047",63,2.78691265815729e-05,22331.6793874203
"499229",9.32083099202936e-06,1.147821470718e-05,1.35180621587534e-05,7.53983929909654e-06,5.14628309703317e-06,6.6280677459223e-06,"v_4483",68,3.30403753386638e-05,22328.6142761031
"2518644",6.92404587979324e-05,0.000124825584940582,4.86650237715123e-05,6.75892737169011e-05,4.11702647762653e-05,4.37452471230872e-05,"v_1445",68,3.03149725649498e-05,22326.1340364167
"1296540",1.33154728457562e-06,7.17388419198749e-07,0,2.4235197747096e-06,1.28657077425829e-06,4.41871183061487e-06,"v_4183",29,2.67773463649752e-05,22320.0797403319
"161398",2.66309456915124e-06,3.58694209599374e-06,1.35180621587534e-06,4.039199624516e-06,1.28657077425829e-06,3.09309828143041e-06,"v_2491",59,3.02379728463004e-05,22316.9372818484
"86331",7.10158551773665e-06,5.73910735358999e-06,2.70361243175068e-06,6.19343942425787e-06,5.14628309703317e-06,4.86058301367635e-06,"v_4289",31,3.11701265507138e-05,22286.942493478
"1470434",1.68662656046246e-05,1.50651568031737e-05,1.89252870222548e-05,1.72339183979349e-05,1.67254200653578e-05,1.6349233773275e-05,"v_2323",21,3.3000033000033e-05,22277.5850346928
"376489",0.000200175941781202,0.000188673154249271,0.000251435956152814,0.00025069965669496,0.000163394488330803,0.000163934208915812,"v_2247",172,2.75277341921986e-05,22268.1889743013
"1288636",0.000263646362345973,0.000289107532937096,0.000339303360184711,0.000413614041550439,0.000290764994982374,0.000346427007520206,"v_3134",89,2.46141728407217e-05,22243.8747457184
