"","cuu6M2TOMPOOB051315.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"252514",4.85650972046087e-05,4.56179729498707e-05,5.06315846042675e-05,7.4901047062924e-05,4.390018893528e-05,4.69328754770592e-05,4.89312369327384e-05,4.93801044691862e-05,6.13748974367925e-05,4.68791856415751e-05,3.57849183268881e-05,"v_2554",40,2.45350606015997e-05,3267.70362494444
"670",2.78074346897356e-05,2.2144647063044e-05,1.9986151817474e-05,2.53648964157312e-05,2.41640809413213e-05,2.68886265753985e-05,3.07567775005784e-05,2.61236681707953e-05,1.6110910577158e-05,2.67881060809001e-05,9.54264488717015e-06,"v_2577",37,2.57685469116397e-05,2267.82901609226
"2738883",4.66068271560357e-05,3.63172211833922e-05,5.37405415536524e-05,6.92312466876429e-05,3.80805673473178e-05,6.25771673027457e-05,5.06787811089076e-05,4.46013846818456e-05,4.48803937506545e-05,5.49156174658452e-05,3.9761020363209e-05,"v_2735",35,2.43706285185095e-05,384.672464471962
"1725232",1.87993924663001e-05,2.34733258868267e-05,1.73213315751442e-05,2.11871487707873e-05,1.01210810225429e-05,2.49330900971877e-05,1.88734771026277e-05,2.58050868516392e-05,1.30421657053184e-05,3.57174747745334e-05,9.54264488717015e-06,"v_2857",39,2.56726227151366e-05,3446.20624743814
"67351",6.18813335349046e-05,8.19351941332629e-05,5.72936352100922e-05,5.81900564831482e-05,3.52972700661185e-05,9.58212874323293e-05,6.15135550011569e-05,5.5751730852307e-05,5.86897456739328e-05,7.94713813733369e-05,4.13514611777373e-05,"v_3122",70,2.32158610762873e-05,1759.03133512931
"75293",6.34479495737629e-05,7.39631211905671e-05,5.86260453312571e-05,4.2672708087642e-05,1.55611620721598e-05,0.000143243047028941,4.92807457679723e-05,3.9822664894505e-05,3.60577522441156e-05,8.57219394588803e-05,2.30613918106612e-05,"v_3124",143,2.43368216110976e-05,4102.34359683651
"33900",4.58235191366066e-05,4.03032576547402e-05,4.0860577049058e-05,4.62536346404511e-05,2.75799457864295e-05,9.38657509541185e-05,3.91449895461907e-05,4.33270594052214e-05,3.22218211543161e-05,5.53620859005268e-05,2.46518326251896e-05,"v_3126",42,2.47751653742289e-05,3233.63337913904
"67260",2.70241266703064e-05,3.7203007065914e-05,3.19778429079584e-05,3.49140338898889e-05,1.79649188150137e-05,3.32441201295836e-05,2.93587421596431e-05,3.05838066389798e-05,2.83858900645165e-05,2.50022323421734e-05,1.59044081452836e-05,"v_3134",35,2.49494773084504e-05,1692.36888155487
"1944646",2.9374050728594e-05,2.6130683534392e-05,2.35392454739139e-05,5.37138982921368e-06,1.64467566616323e-06,4.888841195527e-06,1.46793710798215e-05,1.14689274896174e-05,8.05545528857901e-06,2.09840164300384e-05,0,"v_3819",95,2.61396905060644e-05,2790.55253221073
"1126833",8.38139580789214e-05,8.01636223682194e-05,7.37266933711264e-05,7.84819736157332e-05,5.46538375217319e-05,6.11105149440875e-05,6.46591345182615e-05,7.26365407675771e-05,6.40600491996522e-05,8.25966604161086e-05,6.99793958392478e-05,"v_3948",98,2.37247924080664e-05,2748.84239259728
"79263",6.85394517000526e-05,6.86484058954365e-05,7.72797870275662e-05,7.13201205101149e-05,5.5159891572859e-05,6.06216308245348e-05,5.55719048021815e-05,6.75392396610805e-05,5.21686628212736e-05,6.16126439860702e-05,5.88463101375493e-05,"v_3949",54,2.39808153477218e-05,2785.44033328762
"2495582",4.77817891851795e-05,6.06763329527407e-05,5.59612250889273e-05,4.11806553573049e-05,4.35206483969346e-05,4.27773604608613e-05,5.452337829648e-05,4.49199660010016e-05,3.91264971159552e-05,4.37539065988035e-05,4.29419019922657e-05,"v_3955",59,2.45086025194843e-05,3742.34866337207
"43988",2.2715932563446e-05,2.48020047106093e-05,2.0430288524529e-05,2.6558538600001e-05,1.01210810225429e-05,2.46886480374114e-05,1.95724947730954e-05,1.68848099152701e-05,2.10976209938974e-05,3.03598535583534e-05,1.43139673307552e-05,"v_4610",44,2.56726227151366e-05,1604.81298834185
"92942",2.23242785537314e-05,1.55012529441308e-05,1.9542015110419e-05,1.19364218426971e-05,8.22337833081614e-06,3.00663733524911e-05,1.25823180684185e-05,1.01946022129933e-05,8.05545528857901e-06,7.50066970265202e-05,6.36176325811343e-06,"v_4623",55,2.49806400039969e-05,146.894761373747
"1306274",1.33162363302959e-05,4.87182235386969e-06,9.32687084815455e-06,6.56503201348338e-06,3.16283781954467e-06,2.00442489016607e-05,1.29318269036523e-05,4.7787197873406e-06,6.13748974367925e-06,1.29475846057684e-05,4.77132244358508e-06,"v_4626",59,2.58631837579206e-05,3371.83878914374
"289435",1.01830042525792e-05,5.75760823639145e-06,2.88688859585736e-05,2.4469664777529e-05,7.5908107669072e-06,1.63776180050155e-05,1.18833003979508e-05,1.08317648513054e-05,5.37030352571934e-06,8.48290025895169e-06,2.38566122179254e-06,"v_4644",35,2.61355914484345e-05,3275.33430658745
"2527976",3.99487089908878e-05,3.18882917707834e-05,5.10757213113225e-05,4.86409190089905e-05,2.89715944270292e-05,4.42440128195194e-05,4.82322192622707e-05,5.16101737032785e-05,3.33726004812559e-05,5.26832752924368e-05,1.90852897743403e-05,"v_4854",68,2.52691160863193e-05,4346.53412279564
"1851148",3.36822448354544e-05,2.65735764756528e-05,4.53019441196078e-05,3.16315178831472e-05,1.49285945082508e-05,2.68886265753985e-05,3.634891886432e-05,3.79111769795687e-05,2.26319934298172e-05,4.19680328600768e-05,2.38566122179254e-05,"v_4873",103,2.59282306575399e-05,4766.9373153222
"51589",7.44142618457713e-06,6.64339411891321e-06,6.66205060582468e-06,6.86344255955081e-06,5.31356753683504e-06,6.84437767373781e-06,9.78624738654768e-06,5.41588242565268e-06,9.20623461551887e-06,8.03643182427002e-06,3.18088162905672e-06,"v_5289",35,2.5790478155465e-05,4480.25995096905
"1604004",4.38652490880336e-05,3.80887929484357e-05,3.59750732714532e-05,3.87933709887654e-05,1.66997836871958e-05,3.86218454446633e-05,3.49508835233846e-05,3.59996890646325e-05,3.45233798081958e-05,3.30386641664434e-05,1.82900693670761e-05,"v_5305",40,2.51332059917563e-05,1786.3977961893
